"","WasdeNumber","MarketYear","Acres","ReleaseDate","ForecastYear","ForecastMonth","Yield","Use"
"1",481,"2009/10",79.6,"2010-04-09",2010,4,164.9,12915
"2",482,"2010/11",81.8,"2010-05-11",2010,5,163.5,13300
"3",483,"2010/11",81.8,"2010-06-10",2010,6,163.5,13410
"4",484,"2010/11",81,"2010-07-09",2010,7,163.5,13360
"5",485,"2010/11",81,"2010-08-12",2010,8,165,13490
"6",486,"2010/11",81,"2010-09-10",2010,9,162.5,13440
"7",487,"2010/11",81.3,"2010-10-08",2010,10,155.8,13480
"8",488,"2010/11",81.3,"2010-11-09",2010,11,154.3,13430
"9",489,"2010/11",81.3,"2010-12-10",2010,12,154.3,13430
"10",490,"2010/11",81.4,"2011-01-12",2011,1,152.8,13430
"11",491,"2010/11",81.4,"2011-02-09",2011,2,152.8,13500
"12",492,"2010/11",81.4,"2011-03-10",2011,3,152.8,13500
"13",493,"2010/11",81.4,"2011-04-08",2011,4,152.8,13500
"14",494,"2011/12",85.1,"2011-05-11",2011,5,158.7,13355
"15",495,"2011/12",83.2,"2011-06-09",2011,6,158.7,13255
"16",496,"2011/12",84.9,"2011-07-12",2011,7,158.7,13500
"17",497,"2011/12",84.4,"2011-08-11",2011,8,153,13160
"18",498,"2011/12",84.4,"2011-09-12",2011,9,148.1,12760
"19",499,"2011/12",83.9,"2011-10-12",2011,10,148.1,12710
"20",500,"2011/12",83.9,"2011-11-09",2011,11,146.7,12610
"21",501,"2011/12",83.9,"2011-12-09",2011,12,146.7,12605
"22",502,"2011/12",84,"2012-01-12",2012,1,147.2,12655
"23",503,"2011/12",84,"2012-02-09",2012,2,147.2,12705
"24",504,"2011/12",84,"2012-03-09",2012,3,147.2,12705
"25",505,"2011/12",84,"2012-04-10",2012,4,147.2,12705
"26",506,"2012/13",89.1,"2012-05-10",2012,5,166,13775
"27",507,"2012/13",89.1,"2012-06-12",2012,6,166,13775
"28",508,"2012/13",88.9,"2012-07-11",2012,7,146,12720
"29",509,"2012/13",87.4,"2012-08-10",2012,8,123.4,11225
"30",510,"2012/13",87.4,"2012-09-12",2012,9,122.8,11250
"31",511,"2012/13",87.7,"2012-10-11",2012,10,122,11150
"32",512,"2012/13",87.7,"2012-11-09",2012,11,122.3,11167
"33",513,"2012/13",87.7,"2012-12-11",2012,12,122.3,11167
"34",514,"2012/13",87.4,"2013-01-11",2013,1,123.4,11267
"35",515,"2012/13",87.4,"2013-02-08",2013,2,123.4,11237
"36",516,"2012/13",87.4,"2013-03-08",2013,3,123.4,11262
"37",517,"2012/13",87.4,"2013-04-10",2013,4,123.4,11137
"38",518,"2013/14",89.5,"2013-05-10",2013,5,158,12920
"39",519,"2013/14",89.5,"2013-06-12",2013,6,156.5,12850
"40",520,"2013/14",89.1,"2013-07-11",2013,7,156.5,12750
"41",521,"2013/14",89.1,"2013-08-12",2013,8,154.4,12675
"42",522,"2013/14",89.1,"2013-09-12",2013,9,155.3,12675
"43",523,"2013/14",87.2,"2013-11-08",2013,11,160.4,12950
"44",524,"2013/14",87.2,"2013-12-10",2013,12,160.4,13050
"45",525,"2013/14",87.7,"2014-01-10",2014,1,158.8,13150
"46",526,"2013/14",87.7,"2014-02-10",2014,2,158.8,13300
"47",527,"2013/14",87.7,"2014-03-10",2014,3,158.8,13325
"48",528,"2013/14",87.7,"2014-04-09",2014,4,158.8,13450
"49",529,"2014/15",84.3,"2014-05-09",2014,5,165.3,13385
"50",530,"2014/15",84.3,"2014-06-11",2014,6,165.3,13385
"51",531,"2014/15",83.8,"2014-07-11",2014,7,165.3,13335
"52",532,"2014/15",83.8,"2014-08-12",2014,8,167.4,13435
"53",533,"2014/15",83.8,"2014-09-11",2014,9,171.7,13605
"54",534,"2014/15",83.1,"2014-10-10",2014,10,174.2,13655
"55",535,"2014/15",83.1,"2014-11-10",2014,11,173.4,13660
"56",536,"2014/15",83.1,"2014-12-10",2014,12,173.4,13670
"57",537,"2014/15",83.1,"2015-01-12",2015,1,171,13595
"58",538,"2014/15",83.1,"2015-02-10",2015,2,171,13645
"59",539,"2014/15",83.1,"2015-03-10",2015,3,171,13695
"60",540,"2014/15",83.1,"2015-04-09",2015,4,171,13645
"61",541,"2015/16",81.7,"2015-05-12",2015,5,166.8,13760
"62",542,"2015/16",81.7,"2015-06-10",2015,6,166.8,13760
"63",543,"2015/16",81.1,"2015-07-10",2015,7,166.8,13735
"64",544,"2015/16",81.1,"2015-08-12",2015,8,168.8,13775
"65",545,"2015/16",81.1,"2015-09-11",2015,9,167.5,13755
"66",546,"2015/16",80.7,"2015-10-09",2015,10,168,13755
"67",547,"2015/16",80.7,"2015-11-10",2015,11,169.3,13655
"68",548,"2015/16",80.7,"2015-12-09",2015,12,169.3,13630
"69",549,"2015/16",80.7,"2016-01-12",2016,1,168.4,13570
"70",550,"2015/16",80.7,"2016-02-09",2016,2,168.4,13545
"71",551,"2015/16",80.7,"2016-03-09",2016,3,168.4,13545
"72",552,"2015/16",80.7,"2016-04-12",2016,4,168.4,13521
"73",553,"2016/17",85.9,"2016-05-10",2016,5,168,14120
"74",554,"2016/17",85.9,"2016-06-10",2016,6,168,14170
"75",555,"2016/17",86.6,"2016-07-12",2016,7,168,14200
"76",556,"2016/17",86.6,"2016-08-12",2016,8,175.1,14500
"77",557,"2016/17",86.6,"2016-09-12",2016,9,174.4,14475
"78",558,"2016/17",86.8,"2016-10-12",2016,10,173.4,14525
"79",559,"2016/17",86.8,"2016-11-09",2016,11,175.3,14610
"80",560,"2016/17",86.8,"2016-12-09",2016,12,175.3,14610
"81",561,"2016/17",86.7,"2017-01-12",2017,1,174.6,14585
"82",562,"2016/17",86.7,"2017-02-09",2017,2,174.6,14620
"83",563,"2016/17",86.7,"2017-03-09",2017,3,174.6,14620
"84",564,"2016/17",86.7,"2017-04-11",2017,4,174.6,14620
"85",565,"2017/18",82.4,"2017-05-10",2017,5,170.7,14300
"86",566,"2017/18",82.4,"2017-06-09",2017,6,170.7,14300
"87",567,"2017/18",83.5,"2017-07-12",2017,7,170.7,14350
"88",568,"2017/18",83.5,"2017-08-10",2017,8,169.5,14300
"89",569,"2017/18",83.5,"2017-09-12",2017,9,169.9,14250
"90",570,"2017/18",83.1,"2017-10-12",2017,10,171.8,14285
"91",571,"2017/18",83.1,"2017-11-09",2017,11,175.4,14435
"92",572,"2017/18",83.1,"2017-12-12",2017,12,175.4,14485
"93",573,"2017/18",82.7,"2018-01-12",2018,1,176.6,14470
"94",574,"2017/18",82.7,"2018-02-08",2018,2,176.6,14595
"95",575,"2017/18",82.7,"2018-03-08",2018,3,176.6,14820
"96",576,"2017/18",82.7,"2018-04-10",2018,4,176.6,14765
"97",577,"2018/19",80.7,"2018-05-10",2018,5,174,14590
"98",578,"2018/19",80.7,"2018-06-12",2018,6,174,14615
"99",579,"2018/19",81.8,"2018-07-12",2018,7,174,14755
"100",580,"2018/19",81.8,"2018-08-10",2018,8,178.4,14980
"101",581,"2018/19",81.8,"2018-09-12",2018,9,181.3,15105
"102",582,"2018/19",81.8,"2018-10-11",2018,10,180.7,15155
"103",583,"2018/19",81.8,"2018-11-08",2018,11,178.9,15080
"104",584,"2018/19",81.8,"2018-12-11",2018,12,178.9,15030
"105",585,"2018/19",81.7,"2019-02-08",2019,2,176.4,14865
"106",586,"2018/19",81.7,"2019-03-08",2019,3,176.4,14765
"107",587,"2018/19",81.7,"2019-04-09",2019,4,176.4,14565
"108",588,"2019/20",85.4,"2019-05-10",2019,5,176,14675
"109",589,"2019/20",82.4,"2019-06-11",2019,6,166,14250
"110",590,"2019/20",83.6,"2019-07-11",2019,7,166,14255
"111",591,"2019/20",82,"2019-08-12",2019,8,169.5,14130
"112",592,"2019/20",82,"2019-09-12",2019,9,168.2,14105
"113",593,"2019/20",81.8,"2019-10-10",2019,10,168.4,14015
"114",594,"2019/20",81.8,"2019-11-08",2019,11,167,13915
"115",595,"2019/20",81.8,"2019-12-10",2019,12,167,13915
"116",596,"2019/20",81.5,"2020-01-10",2020,1,168,14070
"117",597,"2019/20",81.5,"2020-02-11",2020,2,168,14070
"118",598,"2019/20",81.5,"2020-03-10",2020,3,168,14070
