Date,Region,Cash,Contract,Futures
1/9/2014,Central,4.34,Dec,4.41
1/16/2014,Central,4.45,Dec,4.52
1/23/2014,Central,4.46,Dec,4.49
1/30/2014,Central,4.47,Dec,4.5
2/6/2014,Central,4.6,Dec,4.58
2/13/2014,Central,4.91,Dec,4.56
2/20/2014,Central,5.07,Dec,4.69
2/27/2014,Central,4.99,Dec,4.61
3/6/2014,Central,5.36,Dec,4.89
3/13/2014,Central,4.98,Dec,4.84
3/20/2014,Central,4.93,Dec,4.81
3/27/2014,Central,5.22,Dec,4.88
4/3/2014,Central,4.96,Dec,5.02
4/10/2014,Central,5.24,Dec,5.05
4/17/2014,Central,5.14,Dec,4.97
4/24/2014,Central,4.96,Dec,5.03
5/1/2014,Central,5.24,Dec,5
5/8/2014,Central,5.38,Dec,5.12
5/15/2014,Central,4.84,Dec,4.81
5/22/2014,Central,4.9,Dec,4.74
5/29/2014,Central,4.77,Dec,4.63
6/5/2014,Central,4.68,Dec,4.47
6/12/2014,Central,4.21,Dec,4.44
6/19/2014,Central,4.56,Dec,4.48
6/26/2014,Central,4.14,Dec,4.43
1/9/2014,Central,4.34,Jul,4.28
1/16/2014,Central,4.45,Jul,4.42
1/23/2014,Central,4.46,Jul,4.41
1/30/2014,Central,4.47,Jul,4.44
2/6/2014,Central,4.6,Jul,4.54
2/13/2014,Central,4.91,Jul,4.51
2/20/2014,Central,5.07,Jul,4.67
2/27/2014,Central,4.99,Jul,4.59
3/6/2014,Central,5.36,Jul,4.95
3/13/2014,Central,4.98,Jul,4.89
3/20/2014,Central,4.93,Jul,4.84
3/27/2014,Central,5.22,Jul,4.96
4/3/2014,Central,4.96,Jul,5.05
4/10/2014,Central,5.24,Jul,5.07
4/17/2014,Central,5.14,Jul,5.01
4/24/2014,Central,4.96,Jul,5.07
5/1/2014,Central,5.24,Jul,5.07
5/8/2014,Central,5.38,Jul,5.17
5/15/2014,Central,4.84,Jul,4.84
5/22/2014,Central,4.9,Jul,4.77
5/29/2014,Central,4.77,Jul,4.7
6/5/2014,Central,4.68,Jul,4.49
6/12/2014,Central,4.21,Jul,4.44
6/19/2014,Central,4.56,Jul,4.51
6/26/2014,Central,4.14,Jul,4.43
1/9/2014,Central,4.34,Sep,4.34
1/16/2014,Central,4.45,Sep,4.47
1/23/2014,Central,4.46,Sep,4.45
1/30/2014,Central,4.47,Sep,4.46
2/6/2014,Central,4.6,Sep,4.55
2/13/2014,Central,4.91,Sep,4.52
2/20/2014,Central,5.07,Sep,4.67
2/27/2014,Central,4.99,Sep,4.59
3/6/2014,Central,5.36,Sep,4.91
3/13/2014,Central,4.98,Sep,4.86
3/20/2014,Central,4.93,Sep,4.82
3/27/2014,Central,5.22,Sep,4.92
4/3/2014,Central,4.96,Sep,5.03
4/10/2014,Central,5.24,Sep,5.07
4/17/2014,Central,5.14,Sep,4.98
4/24/2014,Central,4.96,Sep,5.05
5/1/2014,Central,5.24,Sep,5.03
5/8/2014,Central,5.38,Sep,5.13
5/15/2014,Central,4.84,Sep,4.81
5/22/2014,Central,4.9,Sep,4.74
5/29/2014,Central,4.77,Sep,4.63
6/5/2014,Central,4.68,Sep,4.44
6/12/2014,Central,4.21,Sep,4.4
6/19/2014,Central,4.56,Sep,4.44
6/26/2014,Central,4.14,Sep,4.39
1/2/2014,East,4.44,Dec,4.48
1/9/2014,East,4.35,Dec,4.41
1/16/2014,East,4.51,Dec,4.52
1/23/2014,East,4.52,Dec,4.49
1/30/2014,East,4.57,Dec,4.5
2/6/2014,East,4.66,Dec,4.58
2/13/2014,East,4.64,Dec,4.56
2/20/2014,East,4.79,Dec,4.69
2/27/2014,East,4.71,Dec,4.61
3/6/2014,East,5.11,Dec,4.89
4/24/2014,East,5.26,Dec,5.03
5/1/2014,East,5.28,Dec,5
5/8/2014,East,5.38,Dec,5.12
5/15/2014,East,5.07,Dec,4.81
5/22/2014,East,5,Dec,4.74
5/29/2014,East,4.91,Dec,4.63
6/5/2014,East,4.7,Dec,4.47
6/12/2014,East,4.65,Dec,4.44
6/19/2014,East,4.72,Dec,4.48
6/26/2014,East,4.64,Dec,4.43
1/2/2014,East,4.44,Jul,4.36
1/9/2014,East,4.35,Jul,4.28
1/16/2014,East,4.51,Jul,4.42
1/23/2014,East,4.52,Jul,4.41
1/30/2014,East,4.57,Jul,4.44
2/6/2014,East,4.66,Jul,4.54
2/13/2014,East,4.64,Jul,4.51
2/20/2014,East,4.79,Jul,4.67
2/27/2014,East,4.71,Jul,4.59
3/6/2014,East,5.11,Jul,4.95
4/24/2014,East,5.26,Jul,5.07
5/1/2014,East,5.28,Jul,5.07
5/8/2014,East,5.38,Jul,5.17
5/15/2014,East,5.07,Jul,4.84
5/22/2014,East,5,Jul,4.77
5/29/2014,East,4.91,Jul,4.7
6/5/2014,East,4.7,Jul,4.49
6/12/2014,East,4.65,Jul,4.44
6/19/2014,East,4.72,Jul,4.51
6/26/2014,East,4.64,Jul,4.43
1/2/2014,East,4.44,Sep,4.42
1/9/2014,East,4.35,Sep,4.34
1/16/2014,East,4.51,Sep,4.47
1/23/2014,East,4.52,Sep,4.45
1/30/2014,East,4.57,Sep,4.46
2/6/2014,East,4.66,Sep,4.55
2/13/2014,East,4.64,Sep,4.52
2/20/2014,East,4.79,Sep,4.67
2/27/2014,East,4.71,Sep,4.59
3/6/2014,East,5.11,Sep,4.91
4/24/2014,East,5.26,Sep,5.05
5/1/2014,East,5.28,Sep,5.03
5/8/2014,East,5.38,Sep,5.13
5/15/2014,East,5.07,Sep,4.81
5/22/2014,East,5,Sep,4.74
5/29/2014,East,4.91,Sep,4.63
6/5/2014,East,4.7,Sep,4.44
6/12/2014,East,4.65,Sep,4.4
6/19/2014,East,4.72,Sep,4.44
6/26/2014,East,4.64,Sep,4.39
1/2/2014,North,4.46,Dec,4.48
1/9/2014,North,4.37,Dec,4.41
1/16/2014,North,4.53,Dec,4.52
1/23/2014,North,4.54,Dec,4.49
1/30/2014,North,4.59,Dec,4.5
2/6/2014,North,4.68,Dec,4.58
2/13/2014,North,4.66,Dec,4.56
2/20/2014,North,4.81,Dec,4.69
2/27/2014,North,4.77,Dec,4.61
3/6/2014,North,5.19,Dec,4.89
3/13/2014,North,5.03,Dec,4.84
3/20/2014,North,4.99,Dec,4.81
3/27/2014,North,5.02,Dec,4.88
4/3/2014,North,5.36,Dec,5.02
4/10/2014,North,5.41,Dec,5.05
4/17/2014,North,5.36,Dec,4.97
4/24/2014,North,5.4,Dec,5.03
5/1/2014,North,5.46,Dec,5
5/8/2014,North,5.54,Dec,5.12
5/15/2014,North,5.23,Dec,4.81
5/22/2014,North,5.16,Dec,4.74
5/29/2014,North,5.08,Dec,4.63
6/5/2014,North,4.88,Dec,4.47
6/12/2014,North,4.67,Dec,4.44
6/19/2014,North,4.74,Dec,4.48
6/26/2014,North,4.66,Dec,4.43
1/2/2014,North,4.46,Jul,4.36
1/9/2014,North,4.37,Jul,4.28
1/16/2014,North,4.53,Jul,4.42
1/23/2014,North,4.54,Jul,4.41
1/30/2014,North,4.59,Jul,4.44
2/6/2014,North,4.68,Jul,4.54
2/13/2014,North,4.66,Jul,4.51
2/20/2014,North,4.81,Jul,4.67
2/27/2014,North,4.77,Jul,4.59
3/6/2014,North,5.19,Jul,4.95
3/13/2014,North,5.03,Jul,4.89
3/20/2014,North,4.99,Jul,4.84
3/27/2014,North,5.02,Jul,4.96
4/3/2014,North,5.36,Jul,5.05
4/10/2014,North,5.41,Jul,5.07
4/17/2014,North,5.36,Jul,5.01
4/24/2014,North,5.4,Jul,5.07
5/1/2014,North,5.46,Jul,5.07
5/8/2014,North,5.54,Jul,5.17
5/15/2014,North,5.23,Jul,4.84
5/22/2014,North,5.16,Jul,4.77
5/29/2014,North,5.08,Jul,4.7
6/5/2014,North,4.88,Jul,4.49
6/12/2014,North,4.67,Jul,4.44
6/19/2014,North,4.74,Jul,4.51
6/26/2014,North,4.66,Jul,4.43
1/2/2014,North,4.46,Sep,4.42
1/9/2014,North,4.37,Sep,4.34
1/16/2014,North,4.53,Sep,4.47
1/23/2014,North,4.54,Sep,4.45
1/30/2014,North,4.59,Sep,4.46
2/6/2014,North,4.68,Sep,4.55
2/13/2014,North,4.66,Sep,4.52
2/20/2014,North,4.81,Sep,4.67
2/27/2014,North,4.77,Sep,4.59
3/6/2014,North,5.19,Sep,4.91
3/13/2014,North,5.03,Sep,4.86
