Country,Country2,price
South Korea,South Korea,3.63
Lebanon,Lebanon,3.09
Switzerland,Switzerland,3.02
Denmark,Denmark,2.97
Japan,Japan,2.81
Libya,Libya,2.75
Norway,Norway,2.67
Sweden,Sweden,2.62
Australia,Australia,2.57
Israel,Israel,2.47
Iceland,Iceland,2.46
Hong Kong,Hong Kong,2.39
France,France,2.37
Malta,Malta,2.26
Jamaica,Jamaica,2.25
Singapore,Singapore,2.15
Uzbekistan,Uzbekistan,2.15
Austria,Austria,2.14
Taiwan,Taiwan,2.13
Ireland,Ireland,2.13
New Zealand,New Zealand,2.09
Uruguay,Uruguay,2.05
Belgium,Belgium,2.04
Puerto Rico,Puerto Rico,2.03
Italy,Italy,1.98
Germany,Germany,1.96
Finland,Finland,1.93
Iran,Iran,1.89
Trinidad And Tobago,Trinidad And Tobago,1.89
Spain,Spain,1.88
Cyprus,Cyprus,1.84
Algeria,Algeria,1.84
Slovakia,Slovakia,1.79
Greece,Greece,1.77
Jordan,Jordan,1.77
Tunisia,Tunisia,1.75
Bahrain,Bahrain,1.72
El Salvador,El Salvador,1.69
Turkey,Turkey,1.68
Panama,Panama,1.64
Croatia,Croatia,1.62
United Arab Emirates,United Arab Emirates,1.62
Bulgaria,Bulgaria,1.59
Albania,Albania,1.59
Kuwait,Kuwait,1.58
Philippines,Philippines,1.57
United States,United States,1.56
Oman,Oman,1.55
Syria,Syria,1.52
Nigeria,Nigeria,1.52
United Kingdom,United Kingdom,1.52
Slovenia,Slovenia,1.52
Ghana,Ghana,1.51
Palestine,Palestine,1.51
South Africa,South Africa,1.5
Hungary,Hungary,1.5
Qatar,Qatar,1.5
Saudi Arabia,Saudi Arabia,1.48
Czech Republic,Czech Republic,1.45
Netherlands,Netherlands,1.45
Latvia,Latvia,1.43
Canada,Canada,1.41
Azerbaijan,Azerbaijan,1.38
Chile,Chile,1.37
China,China,1.36
Kazakhstan,Kazakhstan,1.35
Romania,Romania,1.35
Bosnia And Herzegovina,Bosnia And Herzegovina,1.33
Estonia,Estonia,1.32
Indonesia,Indonesia,1.31
Poland,Poland,1.3
Armenia,Armenia,1.3
Portugal,Portugal,1.28
Costa Rica,Costa Rica,1.28
Moldova,Moldova,1.28
Montenegro,Montenegro,1.28
Belarus,Belarus,1.27
Honduras,Honduras,1.26
Thailand,Thailand,1.25
Guatemala,Guatemala,1.24
Bolivia,Bolivia,1.24
Serbia,Serbia,1.22
Morocco,Morocco,1.2
Malaysia,Malaysia,1.18
Lithuania,Lithuania,1.18
Kosovo (Disputed Territory),Kosovo (Disputed Territory),1.17
North Macedonia,North Macedonia,1.12
Iraq,Iraq,1.08
Ukraine,Ukraine,1.05
Brazil,Brazil,1.05
Bangladesh,Bangladesh,1.05
Ecuador,Ecuador,1.04
Mexico,Mexico,1.04
Kenya,Kenya,1.03
Russia,Russia,1
Afghanistan,Afghanistan,0.98
Vietnam,Vietnam,0.96
Peru,Peru,0.94
Ethiopia,Ethiopia,0.92
Nepal,Nepal,0.87
Paraguay,Paraguay,0.83
Sri Lanka,Sri Lanka,0.83
Egypt,Egypt,0.81
Dominican Republic,Dominican Republic,0.8
Colombia,Colombia,0.76
India,India,0.68
Pakistan,Pakistan,0.61
