Country,Country2,production
Algeria,Algeria,159
Angola,Angola,4036959
Antigua and Barbuda,Antigua and Barbuda,276
Argentina,Argentina,176555
Australia,Australia,310160
Austria,Austria,0
Bahamas,Bahamas,11763
Bahrain,Bahrain,1052
Bangladesh,Bangladesh,833309
Barbados,Barbados,1065
Belgium,Belgium,0
Belize,Belize,83845
Benin,Benin,22284
Bhutan,Bhutan,3754
Bolivia (Plurinational State of),Bolivia (Plurinational State of),301255
Brazil,Brazil,6812708
Brunei Darussalam,Brunei Darussalam,1943
Bulgaria,Bulgaria,0
Burundi,Burundi,1179759
Cabo Verde,Cabo Verde,9015
Cambodia,Cambodia,143120
Cameroon,Cameroon,1207375
Central African Republic,Central African Republic,138132
China,China,11998329
"China, mainland","China, mainland",11655700
"China, Taiwan Province of","China, Taiwan Province of",342629
Colombia,Colombia,2914419
Comoros,Comoros,22785
Congo,Congo,85057
Cook Islands,Cook Islands,14
Costa Rica,Costa Rica,2437381
Côte d'Ivoire,Côte d'Ivoire,371675
Croatia,Croatia,0
Cuba,Cuba,259975
Cyprus,Cyprus,5340
Czechia,Czechia,0
Democratic Republic of the Congo,Democratic Republic of the Congo,804591
Denmark,Denmark,0
Dominica,Dominica,19964
Dominican Republic,Dominican Republic,1209268
Ecuador,Ecuador,6583477
Egypt,Egypt,1359297
El Salvador,El Salvador,16156
Equatorial Guinea,Equatorial Guinea,31965
Estonia,Estonia,0
Eswatini,Eswatini,7493
Ethiopia,Ethiopia,539443
Fiji,Fiji,5086
Finland,Finland,0
France,France,206870
French Polynesia,French Polynesia,182
Gabon,Gabon,19977
Germany,Germany,0
Ghana,Ghana,92020
Greece,Greece,4840
Grenada,Grenada,25416
Guatemala,Guatemala,4341564
Guinea,Guinea,227516
Guinea-Bissau,Guinea-Bissau,10032
Guyana,Guyana,14141
Haiti,Haiti,252442
Honduras,Honduras,634100
Hungary,Hungary,0
India,India,30460000
Indonesia,Indonesia,7280659
Iran (Islamic Republic of),Iran (Islamic Republic of),138647
Ireland,Ireland,0
Israel,Israel,144000
Italy,Italy,0
Jamaica,Jamaica,63653
Japan,Japan,6
Jordan,Jordan,32803
Kenya,Kenya,1715770
Kiribati,Kiribati,8454
Kuwait,Kuwait,
Lao People's Democratic Republic,Lao People's Democratic Republic,1056465
Latvia,Latvia,0
Lebanon,Lebanon,78253
Liberia,Liberia,142551
Libya,Libya,
Lithuania,Lithuania,0
Luxembourg,Luxembourg,0
Madagascar,Madagascar,392652
Malawi,Malawi,433517
Malaysia,Malaysia,322732
Maldives,Maldives,220
Mali,Mali,196421
Malta,Malta,0
Mauritius,Mauritius,7266
Mexico,Mexico,2227173
Micronesia (Federated States of),Micronesia (Federated States of),2036
Morocco,Morocco,349924
Mozambique,Mozambique,724966
Nepal,Nepal,278890
Netherlands,Netherlands,0
New Caledonia,New Caledonia,2160
Nicaragua,Nicaragua,95481
Niue,Niue,81
Oman,Oman,18447
Pakistan,Pakistan,135660
Palestine,Palestine,1258
Panama,Panama,308837
Papua New Guinea,Papua New Guinea,1408295
Paraguay,Paraguay,89996
Peru,Peru,
Philippines,Philippines,6049601
Poland,Poland,0
Portugal,Portugal,27840
Puerto Rico,Puerto Rico,75313
Republic of Korea,Republic of Korea,
Romania,Romania,0
Rwanda,Rwanda,1850633
Saint Lucia,Saint Lucia,16182
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,60829
Samoa,Samoa,26456
Sao Tome and Principe,Sao Tome and Principe,5918
Senegal,Senegal,31422
Seychelles,Seychelles,1988
Singapore,Singapore,
Slovakia,Slovakia,0
Slovenia,Slovenia,0
Solomon Islands,Solomon Islands,314
Somalia,Somalia,18243
South Africa,South Africa,405135
South Sudan,South Sudan,
Spain,Spain,398720
Sudan,Sudan,918562
Suriname,Suriname,48435
Sweden,Sweden,0
Syrian Arab Republic,Syrian Arab Republic,121
Thailand,Thailand,1297590
Timor-Leste,Timor-Leste,449
Togo,Togo,26785
Tokelau,Tokelau,16
Tonga,Tonga,897
Trinidad and Tobago,Trinidad and Tobago,2249
Turkey,Turkey,548323
Tuvalu,Tuvalu,286
Uganda,Uganda,544629
United Arab Emirates,United Arab Emirates,203
United Republic of Tanzania,United Republic of Tanzania,3406936
United States of America,United States of America,3467
Vanuatu,Vanuatu,16669
Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),650051
Viet Nam,Viet Nam,2194247
Yemen,Yemen,116300
Zambia,Zambia,644
Zimbabwe,Zimbabwe,142380
