Country,Country2,Year,population
Afghanistan,Afghanistan,2019,38041.75
Albania,Albania,2019,2854.19
Algeria,Algeria,2019,43053.05
American Samoa,American Samoa,2019,55.31
Andorra,Andorra,2019,77.14
Angola,Angola,2019,31825.29
Antigua and Barbuda,Antigua and Barbuda,2019,97.12
Argentina,Argentina,2019,44938.71
Armenia,Armenia,2019,2957.73
Aruba,Aruba,2019,106.31
Australia,Australia,2019,25365.74
Austria,Austria,2019,8879.92
Azerbaijan,Azerbaijan,2019,10024.28
"Bahamas, The","Bahamas, The",2019,389.48
Bahrain,Bahrain,2019,1641.17
Bangladesh,Bangladesh,2019,163046.16
Barbados,Barbados,2019,287.02
Belarus,Belarus,2019,9417.85
Belgium,Belgium,2019,11502.70
Belize,Belize,2019,390.35
Benin,Benin,2019,11801.15
Bermuda,Bermuda,2019,64.03
Bhutan,Bhutan,2019,763.09
Bolivia,Bolivia,2019,11513.10
Bosnia and Herzegovina,Bosnia and Herzegovina,2019,3301.00
Botswana,Botswana,2019,2303.70
Brazil,Brazil,2019,211049.53
British Virgin Islands,British Virgin Islands,2019,30.03
Brunei Darussalam,Brunei Darussalam,2019,433.29
Bulgaria,Bulgaria,2019,6975.76
Burkina Faso,Burkina Faso,2019,20321.38
Burundi,Burundi,2019,11530.58
Cabo Verde,Cabo Verde,2019,549.93
Cambodia,Cambodia,2019,16486.54
Cameroon,Cameroon,2019,25876.38
Canada,Canada,2019,37593.38
Cayman Islands,Cayman Islands,2019,64.95
Central African Republic,Central African Republic,2019,4745.19
Chad,Chad,2019,15946.88
Channel Islands,Channel Islands,2019,172.26
Chile,Chile,2019,18952.04
China,China,2019,1397715.00
Colombia,Colombia,2019,50339.44
Comoros,Comoros,2019,850.89
"Congo, Dem. Rep.","Congo, Dem. Rep.",2019,86790.57
"Congo, Rep.","Congo, Rep.",2019,5380.51
Costa Rica,Costa Rica,2019,5047.56
Cote d'Ivoire,Cote d'Ivoire,2019,25716.54
Croatia,Croatia,2019,4065.25
Cuba,Cuba,2019,11333.48
Curacao,Curacao,2019,157.44
Cyprus,Cyprus,2019,1198.58
Czech Republic,Czech Republic,2019,10671.87
Denmark,Denmark,2019,5814.42
Djibouti,Djibouti,2019,973.56
Dominica,Dominica,2019,71.81
Dominican Republic,Dominican Republic,2019,10738.96
Ecuador,Ecuador,2019,17373.66
"Egypt, Arab Rep.","Egypt, Arab Rep.",2019,100388.07
El Salvador,El Salvador,2019,6453.55
Equatorial Guinea,Equatorial Guinea,2019,1355.99
Eritrea,Eritrea,2011,3213.97
Estonia,Estonia,2019,1326.90
Eswatini,Eswatini,2019,1148.13
Ethiopia,Ethiopia,2019,112078.73
Faroe Islands,Faroe Islands,2019,48.68
Fiji,Fiji,2019,889.95
Finland,Finland,2019,5521.61
France,France,2019,67055.85
French Polynesia,French Polynesia,2019,279.29
Gabon,Gabon,2019,2172.58
"Gambia, The","Gambia, The",2019,2347.71
Georgia,Georgia,2019,3720.16
Germany,Germany,2019,83092.96
Ghana,Ghana,2019,30417.86
Gibraltar,Gibraltar,2019,33.70
Greece,Greece,2019,10717.17
Greenland,Greenland,2019,56.23
Grenada,Grenada,2019,112.00
Guam,Guam,2019,167.29
Guatemala,Guatemala,2019,16604.03
Guinea,Guinea,2019,12771.25
Guinea-Bissau,Guinea-Bissau,2019,1920.92
Guyana,Guyana,2019,782.77
Haiti,Haiti,2019,11263.08
Honduras,Honduras,2019,9746.12
"Hong Kong SAR, China","Hong Kong SAR, China",2019,7507.40
Hungary,Hungary,2019,9771.14
Iceland,Iceland,2019,360.56
India,India,2019,1366417.75
Indonesia,Indonesia,2019,270625.57
"Iran, Islamic Rep.","Iran, Islamic Rep.",2019,82913.91
Iraq,Iraq,2019,39309.78
Ireland,Ireland,2019,4934.04
Isle of Man,Isle of Man,2019,84.58
Israel,Israel,2019,9054.00
Italy,Italy,2019,60302.09
Jamaica,Jamaica,2019,2948.28
Japan,Japan,2019,126264.93
Jordan,Jordan,2019,10101.69
Kazakhstan,Kazakhstan,2019,18513.67
Kenya,Kenya,2019,52573.97
Kiribati,Kiribati,2019,117.61
"Korea, Dem. People's Rep.","Korea, Dem. People's Rep.",2019,25666.16
"Korea, Rep.","Korea, Rep.",2019,51709.10
Kosovo,Kosovo,2019,1788.88
Kuwait,Kuwait,2019,4207.08
Kyrgyz Republic,Kyrgyz Republic,2019,6456.20
Lao PDR,Lao PDR,2019,7169.45
Latvia,Latvia,2019,1913.82
Lebanon,Lebanon,2019,6855.71
Lesotho,Lesotho,2019,2125.27
Liberia,Liberia,2019,4937.37
Libya,Libya,2019,6777.45
Liechtenstein,Liechtenstein,2019,38.02
Lithuania,Lithuania,2019,2794.14
Luxembourg,Luxembourg,2019,620.00
"Macao SAR, China","Macao SAR, China",2019,640.45
Madagascar,Madagascar,2019,26969.31
Malawi,Malawi,2019,18628.75
Malaysia,Malaysia,2019,31949.78
Maldives,Maldives,2019,530.95
Mali,Mali,2019,19658.03
Malta,Malta,2019,504.06
Marshall Islands,Marshall Islands,2019,58.79
Mauritania,Mauritania,2019,4525.70
Mauritius,Mauritius,2019,1265.71
Mexico,Mexico,2019,127575.53
"Micronesia, Fed. Sts.","Micronesia, Fed. Sts.",2019,113.81
Moldova,Moldova,2019,2663.25
Monaco,Monaco,2019,38.96
Mongolia,Mongolia,2019,3225.17
Montenegro,Montenegro,2019,622.03
Morocco,Morocco,2019,36471.77
Mozambique,Mozambique,2019,30366.04
Myanmar,Myanmar,2019,54045.42
Namibia,Namibia,2019,2494.53
Nauru,Nauru,2019,12.58
Nepal,Nepal,2019,28608.71
Netherlands,Netherlands,2019,17344.87
New Caledonia,New Caledonia,2019,287.80
New Zealand,New Zealand,2019,4979.30
Nicaragua,Nicaragua,2019,6545.50
Niger,Niger,2019,23310.72
Nigeria,Nigeria,2019,200963.60
North Macedonia,North Macedonia,2019,2083.46
Northern Mariana Islands,Northern Mariana Islands,2019,57.22
Norway,Norway,2019,5347.90
Oman,Oman,2019,4974.99
Pakistan,Pakistan,2019,216565.32
Palau,Palau,2019,18.01
Panama,Panama,2019,4246.44
Papua New Guinea,Papua New Guinea,2019,8776.11
Paraguay,Paraguay,2019,7044.64
Peru,Peru,2019,32510.45
Philippines,Philippines,2019,108116.62
Poland,Poland,2019,37965.47
Portugal,Portugal,2019,10286.26
Puerto Rico,Puerto Rico,2019,3193.69
Qatar,Qatar,2019,2832.07
Romania,Romania,2019,19366.22
Russian Federation,Russian Federation,2019,144406.26
Rwanda,Rwanda,2019,12626.95
Samoa,Samoa,2019,197.10
San Marino,San Marino,2019,33.86
Sao Tome and Principe,Sao Tome and Principe,2019,215.06
Saudi Arabia,Saudi Arabia,2019,34268.53
Senegal,Senegal,2019,16296.36
Serbia,Serbia,2019,6945.23
Seychelles,Seychelles,2019,97.63
Sierra Leone,Sierra Leone,2019,7813.22
Singapore,Singapore,2019,5703.57
Sint Maarten (Dutch part),Sint Maarten (Dutch part),2019,40.73
Slovak Republic,Slovak Republic,2019,5454.15
Slovenia,Slovenia,2019,2088.39
Solomon Islands,Solomon Islands,2019,669.82
Somalia,Somalia,2019,15442.91
South Africa,South Africa,2019,58558.27
South Sudan,South Sudan,2019,11062.11
Spain,Spain,2019,47133.52
Sri Lanka,Sri Lanka,2019,21803.00
St. Kitts and Nevis,St. Kitts and Nevis,2019,52.83
St. Lucia,St. Lucia,2019,182.79
St. Martin (French part),St. Martin (French part),2019,38.00
St. Vincent and the Grenadines,St. Vincent and the Grenadines,2019,110.59
Sudan,Sudan,2019,42813.24
Suriname,Suriname,2019,581.36
Sweden,Sweden,2019,10278.89
Switzerland,Switzerland,2019,8575.28
Syrian Arab Republic,Syrian Arab Republic,2019,17070.13
Tajikistan,Tajikistan,2019,9321.02
Tanzania,Tanzania,2019,58005.46
Thailand,Thailand,2019,69625.58
Timor-Leste,Timor-Leste,2019,1293.12
Togo,Togo,2019,8082.37
Tonga,Tonga,2019,104.49
Trinidad and Tobago,Trinidad and Tobago,2019,1394.97
Tunisia,Tunisia,2019,11694.72
Turkey,Turkey,2019,83429.62
Turkmenistan,Turkmenistan,2019,5942.09
Turks and Caicos Islands,Turks and Caicos Islands,2019,38.19
Tuvalu,Tuvalu,2019,11.65
Uganda,Uganda,2019,44269.59
Ukraine,Ukraine,2019,44386.20
United Arab Emirates,United Arab Emirates,2019,9770.53
United Kingdom,United Kingdom,2019,66836.33
United States,United States,2019,328239.52
Uruguay,Uruguay,2019,3461.73
Uzbekistan,Uzbekistan,2019,33580.35
Vanuatu,Vanuatu,2019,299.88
"Venezuela, RB","Venezuela, RB",2019,28515.83
Vietnam,Vietnam,2019,96462.11
Virgin Islands (U.S.),Virgin Islands (U.S.),2019,106.67
West Bank and Gaza,West Bank and Gaza,2019,4685.31
"Yemen, Rep.","Yemen, Rep.",2019,29161.92
Zambia,Zambia,2019,17861.03
Zimbabwe,Zimbabwe,2019,14645.47
