year,month,price,stckMay,stckDec,production
1950,May,92.55363904,14599,67676,103820
1950,Jun,87.10217755,14599,67676,103820
1950,Jul,82.26007478,14599,67676,103820
1950,Aug,83.47107438,14599,67676,103820
1950,Sep,83.40180772,14599,67676,103820
1950,Oct,84.08163265,14599,67676,103820
1950,Nov,86.17886179,14599,67676,103820
1950,Dec,87.26981585,14599,67676,103820
1951,Jan,89.0464933,15232,70657,109502
1951,Feb,89.81804104,15232,70657,109502
1951,Mar,89.25811437,15232,70657,109502
1951,Apr,89.12037037,15232,70657,109502
1951,May,88.11081185,15232,70657,109502
1951,Jun,83.30119553,15232,70657,109502
1951,Jul,77.96217677,15232,70657,109502
1951,Aug,78.8863109,15232,70657,109502
1951,Sep,81.82865924,15232,70657,109502
1951,Oct,83.71559633,15232,70657,109502
1951,Nov,87.76595745,15232,70657,109502
1951,Dec,92.17982622,15232,70657,109502
1952,Jan,96.40831758,15136,74000,106386
1952,Feb,96.17569103,15136,74000,106386
1952,Mar,95.11178477,15136,74000,106386
1952,Apr,93.72637944,15136,74000,106386
1952,May,88.40196449,15136,74000,106386
1952,Jun,82.17112703,15136,74000,106386
1952,Jul,82.45877061,15136,74000,106386
1952,Aug,90.29599101,15136,74000,106386
1952,Sep,93.87908374,15136,74000,106386
1952,Oct,95.91607344,15136,74000,106386
1952,Nov,97.41476208,15136,74000,106386
1952,Dec,98.839386,15136,74000,106386
1953,Jan,99.0990991,15013,69470,108245
1953,Feb,96.27679579,15013,69470,108245
1953,Mar,91.62598573,15013,69470,108245
1953,Apr,88.4226302,15013,69470,108245
1953,May,85.01872659,15013,69470,108245
1953,Jun,77.6989167,15013,69470,108245
1953,Jul,75.40126913,15013,69470,108245
1953,Aug,76.72253259,15013,69470,108245
1953,Sep,77.72406099,15013,69470,108245
1953,Oct,78.66419295,15013,69470,108245
1953,Nov,81.93668529,15013,69470,108245
1953,Dec,85.59732043,15013,69470,108245
1954,Jan,88.34446919,15641,71415,107834
1954,Feb,87.81030011,15641,71415,107834
1954,Mar,85.77794281,15641,71415,107834
1954,Apr,84.88458675,15641,71415,107834
