Location,Commodity,Delivery Start,Delivery End,Symbol,Futures,Basis,Cash Price,Notes
BEAMAN,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-19,$5.34 ,
BEAMAN,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-25,$5.37 ,
BEAMAN,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-30,$5.32 ,
BEAMAN,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
BEAMAN,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
BEAMAN,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
BEAMAN,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
BEAMAN,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-53,$11.52 ,
BEAMAN,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-57,$11.60 ,
BEAMAN,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
BEAMAN,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
BEAMAN,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-61,$11.49 ,
CONRAD,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-19,$5.34 ,
CONRAD,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-25,$5.37 ,
CONRAD,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-30,$5.32 ,
CONRAD,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
CONRAD,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
CONRAD,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
CONRAD,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
CONRAD,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-53,$11.52 ,
CONRAD,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-57,$11.60 ,
CONRAD,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
CONRAD,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
CONRAD,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-61,$11.49 ,
LISCOMB,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-17,$5.36 ,
LISCOMB,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-25,$5.37 ,
LISCOMB,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-25,$5.37 ,
LISCOMB,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
LISCOMB,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
LISCOMB,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
LISCOMB,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
LISCOMB,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-45,$11.60 ,
LISCOMB,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-45,$11.72 ,
LISCOMB,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
LISCOMB,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
LISCOMB,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-61,$11.49 ,
HAVERHILL,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-20,$5.33 ,
HAVERHILL,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-25,$5.37 ,
HAVERHILL,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-30,$5.32 ,
HAVERHILL,Corn,5/1/2022,5/31/2022,ZCK22,567-2,-27,$5.40 ,
HAVERHILL,Corn,7/1/2022,7/31/2022,ZCN22,568-6,-30,$5.39 ,
HAVERHILL,Corn,10/1/2022,10/31/2022,ZCZ22,540-4,-40,$5.00 ,
HAVERHILL,Soybeans,11/1/2021,11/30/2021,ZSF22,1205-4,-55,$11.50 ,
HAVERHILL,Soybeans,1/1/2022,1/31/2022,ZSF22,1205-4,-55,$11.50 ,
HAVERHILL,Soybeans,3/1/2022,3/31/2022,ZSH22,1217-4,-57,$11.60 ,
HAVERHILL,Soybeans,5/1/2022,5/31/2022,ZSK22,1228-0,-55,$11.73 ,
HAVERHILL,Soybeans,7/1/2022,7/31/2022,ZSN22,1235-4,-55,$11.80 ,
HAVERHILL,Soybeans,10/1/2022,10/31/2022,ZSX22,1210-4,-65,$11.45 ,
GREEN MOUNTAIN,Corn,11/1/2021,11/30/2021,ZCZ21,553-0,-20,$5.33 ,
GREEN MOUNTAIN,Corn,1/1/2022,1/31/2022,ZCH22,562-2,-25,$5.37 ,
GREEN MOUNTAIN,Corn,3/1/2022,3/31/2022,ZCH22,562-2,-30,$5.32 ,
