Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
14.377,14.48100431,14.48467334,15.21959111,16.19925853,NA,NA,NA
14.377,14.6944514,14.69011934,15.44722708,14.26511532,NA,NA,NA
14.377,14.53069358,14.5393364,14.57340992,14.46312758,NA,NA,NA
14.377,12.94424349,12.94597908,13.68056814,14.19063632,NA,NA,NA
14.377,13.62534318,13.62443221,13.81515707,13.7151058,NA,NA,NA
14.377,12.9917519,12.99552035,13.47362167,13.90741689,NA,NA,NA
14.377,13.49161541,13.48289392,14.80493322,14.33660365,NA,NA,NA
14.377,17.74475297,17.77134086,18.23389967,17.97220359,NA,NA,NA
14.377,15.27264023,15.30059682,15.49202096,16.82358063,NA,NA,NA
14.377,14.50042129,14.4921944,14.4507964,14.05214957,NA,NA,NA
14.377,14.53249322,14.51371054,17.0104659,15.9952288,NA,NA,NA
14.377,16.79622911,16.80574946,17.08526801,16.49077689,NA,NA,NA
14.377,14.51883536,14.49844985,15.56385207,15.04129942,NA,NA,NA
14.377,16.69479594,16.69700297,16.643906,15.61144608,NA,NA,NA
14.377,14.45462745,14.4574587,14.38681836,14.03588399,NA,NA,NA
14.377,14.83646809,14.84281021,13.67277734,13.73086407,NA,NA,NA
14.377,14.11808473,14.10736055,14.35629126,14.85808255,NA,NA,NA
14.377,14.77775322,14.7821407,14.3602087,13.89099972,NA,NA,NA
14.377,13.01607636,13.03138395,14.07175655,13.96016255,NA,NA,NA
14.377,13.16895458,13.18405612,13.28483218,13.8800129,NA,NA,NA
14.377,14.8619801,14.86557505,14.32106015,14.38557272,NA,NA,NA
14.377,14.95836314,14.94809216,17.31042041,17.78915324,NA,NA,NA
14.377,14.91683073,14.91407187,15.53620551,15.61606682,NA,NA,NA
14.377,14.04778721,14.03667862,14.19387158,13.99200102,NA,NA,NA
14.377,13.97224448,13.98232667,11.65635837,11.71168813,NA,NA,NA
14.377,14.05414917,14.05951386,12.58950152,13.55924507,NA,NA,NA
14.377,14.9149086,14.90129297,16.08055497,16.65109187,NA,NA,NA
14.377,11.47474218,11.47142487,12.0991027,11.75696499,NA,NA,NA
14.377,14.72732038,14.70910069,15.99491995,15.72069375,NA,NA,NA
14.377,14.6847603,14.69473621,14.3860998,15.59639077,NA,NA,NA
14.377,14.07222622,14.06622914,15.04992748,14.48853169,NA,NA,NA
14.377,15.26752825,15.26677712,14.59400731,14.83433618,NA,NA,NA
14.377,13.08099212,13.0784074,13.53219585,13.61414027,NA,NA,NA
14.377,14.35152688,14.34266446,13.05338302,12.77627357,NA,NA,NA
14.377,14.67359521,14.66575443,14.87665079,15.01679386,NA,NA,NA
14.377,14.16176105,14.14960328,16.17674227,15.56568682,NA,NA,NA
14.377,15.95169816,15.94064168,13.97173116,13.9164979,NA,NA,NA
14.377,14.83150439,14.83890268,12.82023674,12.4434251,NA,NA,NA
14.377,12.25505888,12.24911501,12.34089022,12.09010426,NA,NA,NA
14.377,18.88887331,18.87996097,17.85828749,17.75941747,NA,NA,NA
14.377,13.09855689,13.09685467,14.03258453,14.62412108,NA,NA,NA
14.377,16.1022818,16.0805584,14.95280645,14.80563803,NA,NA,NA
14.377,17.27823282,17.29774483,15.90719684,15.46459674,NA,NA,NA
14.377,14.97060524,14.96043869,13.37952402,13.25145455,NA,NA,NA
14.377,14.69908725,14.70501971,14.75821481,14.98770764,NA,NA,NA
14.377,14.467298,14.47397651,13.4832861,13.68475721,NA,NA,NA
14.377,13.09397609,13.09100284,13.14401979,12.74851827,NA,NA,NA
14.377,14.26127411,14.25109002,14.76083075,15.36621342,NA,NA,NA
14.377,15.50678192,15.49867232,16.17590382,16.13004441,NA,NA,NA
14.377,12.99771055,13.00137705,11.38877257,11.41582111,NA,NA,NA
14.377,15.75536334,15.75463745,18.20221285,17.64051276,NA,NA,NA
14.377,14.66656796,14.66309396,15.0247042,14.36539068,NA,NA,NA
14.377,14.59209221,14.59344715,14.1227017,14.45721541,NA,NA,NA
14.377,14.06366604,14.05087427,12.68562936,12.88992033,NA,NA,NA
14.377,12.33678036,12.33108095,11.33246791,11.8228332,NA,NA,NA
14.377,13.83263618,13.83452992,15.65962292,15.63022685,NA,NA,NA
14.377,14.29072533,14.28866543,16.01960282,15.97385149,NA,NA,NA
14.377,13.17974121,13.18421119,13.02143793,13.45727816,NA,NA,NA
14.377,14.15043814,14.14347027,14.49571295,14.27979398,NA,NA,NA
14.377,14.55741068,14.5617194,13.78291731,14.56369026,NA,NA,NA
14.377,16.7846935,16.8143804,19.57786906,20.06714856,NA,NA,NA
14.377,13.32858142,13.31747768,13.25813115,13.66043513,NA,NA,NA
14.377,13.43201733,13.41813457,14.10575488,14.17602306,NA,NA,NA
14.377,12.23660091,12.23223775,13.21587651,12.74252709,NA,NA,NA
14.377,14.87454791,14.87477265,15.75039447,16.53671026,NA,NA,NA
14.377,15.06804907,15.08382305,16.20178035,16.60890763,NA,NA,NA
14.377,15.23267936,15.24420366,15.47008432,16.0146821,NA,NA,NA
14.377,15.74550175,15.73502889,13.6567531,13.19639876,NA,NA,NA
14.377,14.50131933,14.50435092,13.08204963,13.58314922,NA,NA,NA
14.377,14.22585587,14.2440254,13.60958437,13.60281401,NA,NA,NA
14.377,13.5002391,13.50838209,14.74981633,14.99641161,NA,NA,NA
14.377,12.91342658,12.92707727,13.49923174,13.4537873,NA,NA,NA
14.377,14.01610999,14.00878094,14.7133669,14.31293936,NA,NA,NA
14.377,13.96706082,13.9727866,12.97148157,12.88549043,NA,NA,NA
14.377,12.82474404,12.82382599,12.61859989,12.78118413,NA,NA,NA
14.377,14.07405798,14.08545274,14.35858145,14.27954396,NA,NA,NA
14.377,15.71667805,15.71340192,16.26277362,16.83709841,NA,NA,NA
14.377,15.00810691,15.01297877,15.10947633,15.61712189,NA,NA,NA
14.377,14.28861623,14.30507371,15.64032604,16.52774419,NA,NA,NA
14.377,14.16713015,14.17399104,15.73275447,15.94393151,NA,NA,NA
14.377,15.36876006,15.39264968,15.59584172,15.18051223,NA,NA,NA
14.377,15.45682079,15.44996864,15.41979089,16.26858927,NA,NA,NA
14.377,15.22633182,15.21970028,13.77415416,14.07553935,NA,NA,NA
14.377,14.51222752,14.49616063,15.83300208,16.00091034,NA,NA,NA
14.377,15.44086341,15.46310184,14.85977036,14.79674859,NA,NA,NA
14.377,14.67714224,14.69583249,14.32022265,14.63981652,NA,NA,NA
14.377,13.4409297,13.43910837,12.57397775,12.90284823,NA,NA,NA
14.377,15.06161302,15.06242168,16.43634671,16.95907264,NA,NA,NA
14.377,13.2953971,13.28391078,12.80748946,12.58087716,NA,NA,NA
14.377,13.30742221,13.29226942,14.05812845,14.8177533,NA,NA,NA
14.377,14.66647056,14.67539425,16.49973969,15.99893358,NA,NA,NA
14.377,13.53999426,13.53243457,13.2842048,12.99544448,NA,NA,NA
14.377,14.60635023,14.60354313,14.59429437,14.4292188,NA,NA,NA
14.377,13.82211641,13.83086952,12.54748122,11.83891378,NA,NA,NA
14.377,14.94822721,14.95274573,13.79691119,13.94796529,NA,NA,NA
14.377,15.16500171,15.17510845,15.8107386,15.84219011,NA,NA,NA
14.377,14.33525813,14.33088528,17.59378962,16.81175125,NA,NA,NA
14.377,14.70492739,14.7214178,13.46809776,13.5035025,NA,NA,NA
14.377,14.34467928,14.32815972,12.41414445,12.37555783,NA,NA,NA
14.377,13.10074349,13.1020254,11.59996811,11.0766587,NA,NA,NA
14.377,14.58045097,14.56607932,17.55980817,17.80941557,NA,NA,NA
14.377,15.72184192,15.73066438,15.28398889,15.25980803,NA,NA,NA
14.377,14.00326922,14.01332226,12.77193347,12.81726758,NA,NA,NA
14.377,15.11265811,15.11092681,13.4699742,13.71093994,NA,NA,NA
14.377,14.24984264,14.249469,12.85459585,13.02166332,NA,NA,NA
14.377,14.8150069,14.81906027,14.14305067,14.47992922,NA,NA,NA
14.377,14.9828295,14.9791609,16.56785172,16.98306124,NA,NA,NA
14.377,13.91983201,13.9338061,12.52950911,12.24064292,NA,NA,NA
14.377,14.46530795,14.45831936,14.94824241,14.7552085,NA,NA,NA
14.377,14.41537194,14.41704985,13.69702248,14.51797904,NA,NA,NA
14.377,13.65909912,13.66450067,13.6526947,14.21315448,NA,NA,NA
14.377,14.2103217,14.20710163,15.16054661,15.00654282,NA,NA,NA
14.377,15.86994773,15.86161017,13.0541485,13.6220127,NA,NA,NA
14.377,13.45456371,13.45504967,13.99374149,13.81064682,NA,NA,NA
14.377,14.36624879,14.37406643,14.70428289,14.73836001,NA,NA,NA
14.377,15.81637167,15.80745782,14.35894222,14.28126584,NA,NA,NA
14.377,13.71557581,13.72542672,13.24719082,13.11763962,NA,NA,NA
14.377,13.46521559,13.46286453,11.83620574,11.65738192,NA,NA,NA
14.377,14.08240342,14.07954133,15.70240866,16.62024626,NA,NA,NA
14.377,13.99510246,13.98161205,11.7999089,11.93898137,NA,NA,NA
14.377,12.75909587,12.75559843,12.25058233,11.58847962,NA,NA,NA
14.377,14.38070428,14.38364553,12.66955669,12.27321574,NA,NA,NA
14.377,14.41367207,14.40978025,16.33543369,16.30146684,NA,NA,NA
14.377,15.41823746,15.4312044,12.88413306,12.75900497,NA,NA,NA
14.377,12.78922165,12.77887279,12.65974558,13.18362666,NA,NA,NA
14.377,16.65622145,16.66615279,15.37416774,14.51466966,NA,NA,NA
14.377,16.96346591,16.9591901,16.88660032,15.57881678,NA,NA,NA
