Week,CornSpot,DDG,Ethanol,CornCont,Index,CornFut,EthanFut,BasisCorn,BasisEthan
1/8/2016,3.4,121.55,1.28,16-Mar,1,357,1.31,-0.17,-0.03
1/15/2016,3.4,120.9,1.22,16-Mar,1,363.25,1.32,-0.2325,-0.1
1/22/2016,3.51,121.88,1.2,16-Mar,1,370.25,1.33,-0.1925,-0.13
1/29/2016,3.52,122.65,1.23,16-Mar,1,372,1.33,-0.2,-0.1
2/5/2016,3.55,121.3,1.3,16-Mar,1,365.75,1.42,-0.1075,-0.12
2/12/2016,3.45,121.75,1.3,16-Mar,1,358.75,1.38,-0.1375,-0.08
2/19/2016,3.47,122.82,1.3,16-Mar,1,365.5,1.39,-0.185,-0.09
2/26/2016,3.45,123.75,1.31,16-Mar,1,354.5,1.39,-0.095,-0.08
3/4/2016,3.35,126.65,1.29,16-May,2,354.5,1.36,-0.195,-0.07
3/11/2016,3.39,126,1.23,16-May,2,366,1.38,-0.27,-0.15
3/18/2016,3.49,124.65,1.26,16-May,2,367,1.38,-0.18,-0.12
3/25/2016,3.49,122.1,1.3,16-May,2,370,1.37,-0.21,-0.07
4/1/2016,3.45,120.05,1.3,16-May,2,354,1.45,-0.09,-0.15
4/8/2016,3.37,117.9,1.33,16-May,2,362.25,1.51,-0.2525,-0.18
4/15/2016,3.45,114.2,1.39,16-May,2,378.5,1.52,-0.335,-0.13
4/22/2016,3.61,113.65,1.48,16-May,2,371.75,1.52,-0.1075,-0.04
4/29/2016,3.52,116.9,1.5,16-May,2,390.25,1.52,-0.3825,-0.02
5/6/2016,3.55,120.35,1.47,16-Jul,3,376,1.51,-0.21,-0.04
5/13/2016,3.49,126.15,1.44,16-Jul,3,382,1.53,-0.33,-0.09
5/20/2016,3.66,136.6,1.45,16-Jul,3,394.5,1.55,-0.285,-0.1
5/27/2016,3.71,141.85,1.49,16-Jul,3,412.75,1.57,-0.4175,-0.08
6/3/2016,3.81,150.32,1.54,16-Jul,3,418.25,1.66,-0.3725,-0.12
6/10/2016,3.93,155.4,1.56,16-Jul,3,423,1.66,-0.3,-0.1
6/17/2016,3.93,164.05,1.58,16-Jul,3,437.75,1.67,-0.4475,-0.09
6/24/2016,3.71,167.1,1.58,16-Jul,3,384.5,1.65,-0.135,-0.07
7/1/2016,3.44,161.75,1.53,16-Sep,4,353,1.6,-0.09,-0.07
7/8/2016,3.16,154.69,1.52,16-Sep,4,349.75,1.58,-0.3375,-0.06
7/15/2016,3.25,141.2,1.5,16-Sep,4,352.25,1.55,-0.2725,-0.05
7/22/2016,3.16,134.9,1.51,16-Sep,4,335,1.53,-0.19,-0.02
7/29/2016,3.08,129.5,1.39,16-Sep,4,334.5,1.52,-0.265,-0.13
8/5/2016,3.02,123.9,1.34,16-Sep,4,324.25,1.41,-0.2225,-0.07
8/12/2016,3.01,117,1.29,16-Sep,4,322.25,1.41,-0.2125,-0.12
8/19/2016,3.05,115.3,1.32,16-Sep,4,334.25,1.44,-0.2925,-0.12
8/26/2016,3.06,116.65,1.36,16-Sep,4,316.25,1.43,-0.1025,-0.07
9/2/2016,2.86,116.3,1.37,16-Dec,5,316.5,1.47,-0.305,-0.1
9/9/2016,3,112.19,1.36,16-Dec,5,330,1.52,-0.3,-0.16
