P_1_2,P_2_2
3.653214072,3.534949802
3.653214072,3.841965959
3.653214072,3.547937881
3.653214072,4.728673419
3.653214072,3.713197665
3.653214072,4.446776111
3.653214072,3.930175495
3.653214072,1.654043231
3.653214072,2.981961341
3.653214072,3.722114121
3.653214072,3.698985526
3.653214072,2.223595369
3.653214072,3.516956576
3.653214072,2.217786332
3.653214072,2.85104002
3.653214072,3.21003553
3.653214072,3.883494072
3.653214072,3.941466526
3.653214072,4.387054527
3.653214072,4.844711665
3.653214072,3.619624582
3.653214072,3.18223909
3.653214072,3.12006917
3.653214072,3.17946988
3.653214072,4.014253596
3.653214072,3.80395895
3.653214072,3.99306315
3.653214072,4.748729862
3.653214072,3.623313669
3.653214072,3.563721357
3.653214072,3.622595428
3.653214072,2.687769641
3.653214072,4.004485724
3.653214072,3.566718741
3.653214072,3.825941989
3.653214072,3.298762441
3.653214072,2.354279272
3.653214072,3.232917958
3.653214072,5.023836615
3.653214072,1.493575691
3.653214072,4.776891165
3.653214072,2.793145776
3.653214072,2.018500986
3.653214072,3.037564507
3.653214072,3.75762914
3.653214072,3.058618567
3.653214072,4.040636375
3.653214072,3.694286593
3.653214072,3.034222059
3.653214072,4.636641101
3.653214072,3.111222429
3.653214072,2.996317599
3.653214072,3.880179475
3.653214072,3.80153374
3.653214072,4.768065923
3.653214072,4.406622325
3.653214072,3.688827857
3.653214072,4.602459865
3.653214072,3.896679711
3.653214072,4.098605056
3.653214072,2.841861236
3.653214072,3.757606853
3.653214072,3.682392181
3.653214072,5.102697065
3.653214072,3.403134089
3.653214072,2.955161408
3.653214072,3.122557028
3.653214072,3.261574077
3.653214072,3.137319102
3.653214072,3.992662831
3.653214072,3.633843223
3.653214072,4.553039714
3.653214072,3.531403575
3.653214072,3.681686665
3.653214072,4.51748972
3.653214072,3.949697283
3.653214072,3.137012794
3.653214072,3.286401098
3.653214072,3.969580365
3.653214072,3.730681029
3.653214072,3.323573421
3.653214072,3.40022819
3.653214072,3.277110923
3.653214072,4.08923756
3.653214072,3.03653592
3.653214072,4.040511202
3.653214072,4.181546796
3.653214072,3.334240127
3.653214072,4.116341395
3.653214072,3.92672147
3.653214072,3.570699244
3.653214072,4.613965706
3.653214072,3.321628319
3.653214072,4.380459296
3.653214072,3.073497742
3.653214072,3.711482956
3.653214072,3.877733574
3.653214072,3.52246426
3.653214072,3.744624866
3.653214072,4.355286087
3.653214072,3.199929067
3.653214072,3.522307607
3.653214072,3.971340025
3.653214072,3.371265647
3.653214072,3.574222516
3.653214072,3.079470813
3.653214072,3.016135
3.653214072,3.999696787
3.653214072,3.67109942
3.653214072,3.333648393
3.653214072,4.351529373
3.653214072,3.817263354
3.653214072,2.835096296
3.653214072,4.17219748
3.653214072,3.498564889
3.653214072,3.010876501
3.653214072,4.075213488
3.653214072,3.606442067
3.653214072,3.928572951
3.653214072,3.574358081
3.653214072,3.724347884
3.653214072,4.007609446
3.653214072,3.45656722
3.653214072,3.057008653
3.653214072,4.565069059
3.653214072,2.090224183
3.653214072,2.517404281
3.653214072,3.429964507
3.653214072,3.12915013
3.653214072,1.591133156
3.653214072,4.104723572
3.653214072,4.339761668
3.653214072,4.711878672
3.653214072,4.146833132
3.653214072,4.418971896
3.653214072,3.546298364
3.653214072,4.232761246
3.653214072,3.86839717
3.653214072,4.372267087
3.653214072,3.79117227
3.653214072,2.037152468
3.653214072,4.235438233
3.653214072,3.48950784
3.653214072,4.095108468
3.653214072,4.139774543
3.653214072,2.515752382
3.653214072,4.764584981
3.653214072,3.763096214
3.653214072,4.548314942
3.653214072,3.15333988
3.653214072,3.187018244
3.653214072,3.869766813
3.653214072,3.49571892
3.653214072,4.061344332
3.653214072,2.923164704
3.653214072,3.663478274
3.653214072,5.125465586
3.653214072,3.511000656
3.653214072,4.005298916
3.653214072,4.022248786
3.653214072,5.130711746
3.653214072,3.795146616
3.653214072,3.454137388
3.653214072,3.986644888
3.653214072,4.520906789
3.653214072,3.149947286
3.653214072,4.133859093
3.653214072,3.693646304
3.653214072,3.880329817
3.653214072,3.668221366
3.653214072,3.833455167
3.653214072,3.514067411
3.653214072,3.89670076
3.653214072,3.592206659
3.653214072,4.356887193
3.653214072,3.415259568
3.653214072,3.809882976
3.653214072,5.033536559
3.653214072,3.15893323
3.653214072,5.250093626
3.653214072,4.266931354
3.653214072,3.555095639
3.653214072,4.98785918
3.653214072,3.25114486
3.653214072,4.130050285
3.653214072,3.070394677
3.653214072,4.14996122
3.653214072,4.014040404
3.653214072,2.778961166
3.653214072,3.846657533
3.653214072,3.643690279
3.653214072,3.793180785
3.653214072,3.876618143
3.653214072,3.672634922
3.653214072,3.802388064
3.653214072,3.222670742
3.653214072,2.383578414
3.653214072,4.151328352
3.653214072,2.681005879
3.653214072,3.18157143
3.653214072,3.970135622
3.653214072,3.200772237
3.653214072,4.467349397
3.653214072,3.498846182
3.653214072,4.620650578
3.653214072,3.696085453
3.653214072,3.282095838
3.653214072,4.830776945
3.653214072,3.819275211
3.653214072,4.447643587
3.653214072,2.79135405
3.653214072,2.436762205
3.653214072,2.533603474
3.653214072,2.510337723
3.653214072,3.265864802
3.653214072,3.788125074
3.653214072,4.071275055
3.653214072,3.107540944
3.653214072,4.130310372
3.653214072,4.069287551
3.653214072,4.201696151
3.653214072,4.33979277
3.653214072,3.325045442
3.653214072,3.091424776
3.653214072,4.248336199
3.653214072,3.63833702
3.653214072,3.339416792
3.653214072,3.319469938
3.653214072,3.43198758
3.653214072,3.92287345
3.653214072,4.122000011
3.653214072,4.43137447
3.653214072,3.190253029
3.653214072,4.22316663
3.653214072,3.578599541
3.653214072,3.889849465
3.653214072,4.32664784
3.653214072,3.941228285
3.653214072,3.831403729
3.653214072,4.18557426
3.653214072,2.886493799
3.653214072,2.767240413
3.653214072,2.811094804
3.653214072,3.817414991
3.653214072,3.467045814
3.653214072,3.857377649
3.653214072,4.156977792
3.653214072,3.444452388
3.653214072,3.382871209
3.653214072,3.258322706
3.653214072,2.503851719
3.653214072,4.063263198
3.653214072,3.147429497
3.653214072,3.030785426
3.653214072,4.641784546
3.653214072,3.94199881
3.653214072,3.513566339
3.653214072,3.960332284
3.653214072,3.277510484
3.653214072,4.145857732
3.653214072,4.532373693
3.653214072,3.02478534
3.653214072,3.473324586
3.653214072,2.917343301
3.653214072,4.572219804
3.653214072,3.653283266
3.653214072,2.94742404
3.653214072,3.430169905
3.653214072,3.189890805
3.653214072,4.59528335
3.653214072,4.186068109
3.653214072,2.607610012
3.653214072,4.277240804
3.653214072,3.531517278
3.653214072,3.302336225
3.653214072,3.521349767
3.653214072,1.978316426
3.653214072,4.735111899
3.653214072,4.290262589
3.653214072,3.953614177
3.653214072,3.267436496
3.653214072,3.701765384
3.653214072,3.873863147
3.653214072,3.733179728
3.653214072,3.488463149
3.653214072,3.849911803
3.653214072,3.132084202
3.653214072,3.852235508
3.653214072,4.740419769
3.653214072,3.60963661
3.653214072,4.054425146
3.653214072,3.975234578
3.653214072,3.619380311
3.653214072,2.888135626
3.653214072,4.230503766
3.653214072,3.116940509
3.653214072,3.802250246
3.653214072,3.987540001
3.653214072,3.346262628
3.653214072,2.9059527
3.653214072,3.514881675
3.653214072,3.519527293
3.653214072,4.252386497
3.653214072,3.507231184
3.653214072,3.23833499
3.653214072,4.237985526
3.653214072,4.481421089
3.653214072,4.684697216
3.653214072,4.108647598
3.653214072,4.440085852
3.653214072,4.043882428
3.653214072,1.760148673
3.653214072,4.775999206
3.653214072,3.164176684
3.653214072,4.277254299
3.653214072,3.630563727
3.653214072,3.437745164
3.653214072,3.38653186
3.653214072,2.965260569
3.653214072,2.692652553
3.653214072,3.159746775
3.653214072,3.439463217
3.653214072,2.743842969
3.653214072,4.137858456
3.653214072,3.840405427
3.653214072,4.14575145
3.653214072,3.593448664
3.653214072,2.914888615
3.653214072,3.718928925
3.653214072,2.316579884
3.653214072,3.648278625
3.653214072,3.598923666
3.653214072,3.398401658
3.653214072,2.070534557
3.653214072,2.157970285
3.653214072,3.447487967
3.653214072,4.343779229
3.653214072,4.836524593
3.653214072,4.112032757
3.653214072,3.672723161
3.653214072,4.216414327
3.653214072,3.295245375
3.653214072,3.431661399
3.653214072,2.318475422
3.653214072,2.753640982
3.653214072,3.126591659
3.653214072,3.77648144
3.653214072,3.862090928
3.653214072,3.478142642
3.653214072,4.297557035
3.653214072,3.600686252
3.653214072,3.818874658
3.653214072,2.990216452
3.653214072,3.556533281
3.653214072,3.59987478
3.653214072,3.880345882
3.653214072,4.142991915
3.653214072,4.473500983
3.653214072,4.005910948
3.653214072,4.931495399
3.653214072,4.334294765
3.653214072,3.757036856
3.653214072,3.279644637
3.653214072,2.440454049
3.653214072,4.982855846
3.653214072,3.742948068
3.653214072,3.99178883
3.653214072,2.975942477
3.653214072,2.801927811
3.653214072,4.378196901
3.653214072,4.196187085
3.653214072,3.851164235
3.653214072,4.211945918
3.653214072,3.996211468
3.653214072,3.877789051
3.653214072,3.314464885
3.653214072,4.75194601
3.653214072,4.021902968
3.653214072,4.380959074
3.653214072,3.935471878
3.653214072,3.719513837
3.653214072,2.658321078
3.653214072,4.313115857
3.653214072,2.334994083
3.653214072,4.763272489
3.653214072,2.873966483
3.653214072,3.006769138
3.653214072,4.326142715
3.653214072,4.183892199
3.653214072,5.110313531
3.653214072,3.35134429
3.653214072,4.71144976
3.653214072,4.306806393
3.653214072,4.365990609
3.653214072,3.913009504
3.653214072,4.033432138
3.653214072,3.226516641
3.653214072,3.130742459
3.653214072,2.136438017
3.653214072,3.017981248
3.653214072,2.83468308
3.653214072,3.600727848
3.653214072,4.770326429
3.653214072,4.728395602
3.653214072,3.956360385
3.653214072,3.653380189
3.653214072,3.450219281
3.653214072,4.5275639
3.653214072,3.227812528
3.653214072,4.596209927
3.653214072,3.202580446
3.653214072,2.923870809
3.653214072,4.711693515
3.653214072,3.170654519
3.653214072,3.531298832
3.653214072,4.764661235
3.653214072,2.89924352
3.653214072,3.493653031
3.653214072,3.978135224
3.653214072,3.708647899
3.653214072,2.916924784
3.653214072,2.9774896
3.653214072,3.752323637
3.653214072,4.435551318
3.653214072,2.659669121
3.653214072,4.139340484
3.653214072,3.234539972
3.653214072,4.483515494
3.653214072,3.517567764
3.653214072,3.805746132
3.653214072,4.415130641
3.653214072,3.70309577
3.653214072,3.745062879
3.653214072,2.103823792
3.653214072,3.75595434
3.653214072,3.880459155
3.653214072,3.265069848
3.653214072,2.43945641
3.653214072,4.643492334
3.653214072,4.049430199
3.653214072,4.696524263
3.653214072,3.793361207
3.653214072,3.467934353
3.653214072,3.956793163
3.653214072,3.284175582
3.653214072,4.049971877
3.653214072,3.354939591
3.653214072,3.882799039
3.653214072,4.073270475
3.653214072,4.7751846
3.653214072,3.49777082
3.653214072,3.057497629
3.653214072,3.323689469
3.653214072,2.572472306
3.653214072,3.620786048
3.653214072,4.410274319
3.653214072,4.156383487
3.653214072,4.359561162
3.653214072,3.631201503
3.653214072,2.348378408
3.653214072,2.806658261
3.653214072,3.839650372
3.653214072,4.637437756
3.653214072,2.543349407
3.653214072,2.721718903
