P_1_3,P_2_3,P_3_3
3.708320009,3.589042045,3.714814473
3.708320009,3.898689769,3.615801783
3.708320009,3.60214145,3.640308889
3.708320009,4.792997578,4.556729093
3.708320009,3.768817747,3.657917766
3.708320009,4.508684008,4.470441597
3.708320009,3.987655387,4.114459172
3.708320009,1.692013418,1.904200778
3.708320009,3.031313683,3.10497747
3.708320009,3.77781063,3.788794245
3.708320009,3.754483789,3.717212302
3.708320009,2.266447431,2.137672994
3.708320009,3.570894592,3.316789517
3.708320009,2.260588603,2.252384407
3.708320009,2.899270179,3.18992158
3.708320009,3.261342793,3.56162998
3.708320009,3.940573837,3.88922793
3.708320009,3.999043198,3.848731495
3.708320009,4.448450525,4.087910369
3.708320009,4.910030439,4.466520079
3.708320009,3.674442609,3.72276583
3.708320009,3.233308098,3.185847449
3.708320009,3.170605293,3.654617583
3.708320009,3.230515152,3.043449807
3.708320009,4.072454157,4.141708994
3.708320009,3.860356986,3.964018606
3.708320009,4.051082079,3.750473975
3.708320009,4.813225934,4.952082148
3.708320009,3.678163317,3.594639459
3.708320009,3.618060214,3.730731644
3.708320009,3.677438919,3.809051218
3.708320009,2.734600339,2.93164838
3.708320009,4.06260256,4.100240427
3.708320009,3.621083289,3.481312785
3.708320009,3.882528451,3.93532181
3.708320009,3.350830221,3.421332394
3.708320009,2.398251482,2.493648082
3.708320009,3.284421357,3.282162667
3.708320009,5.090690744,4.631478092
3.708320009,1.530170441,1.655840803
3.708320009,4.84162862,4.594391158
3.708320009,2.840879698,3.039335274
3.708320009,2.059595096,2.306526905
3.708320009,3.087393448,3.132698964
3.708320009,3.813630063,3.655517834
3.708320009,3.108627971,3.312833294
3.708320009,4.099063074,4.097245955
3.708320009,3.74974458,3.743890325
3.708320009,3.08402235,2.968061987
3.708320009,4.700176412,4.647676253
3.708320009,3.161682723,3.210210711
3.708320009,3.045792995,3.133945889
3.708320009,3.93723083,3.826272586
3.708320009,3.857910988,3.963098756
3.708320009,4.832727733,4.742464084
3.708320009,4.468186047,4.405362239
3.708320009,3.744239054,3.380487704
3.708320009,4.665702194,4.6155873
3.708320009,3.953872496,3.717298749
3.708320009,4.15752863,4.235782581
3.708320009,2.89001272,2.720101934
3.708320009,3.813607585,4.292972452
3.708320009,3.737748216,4.027776392
3.708320009,5.170227142,5.181662818
3.708320009,3.456096483,3.629355288
3.708320009,3.004284036,3.109061288
3.708320009,3.173114476,3.208997407
3.708320009,3.313323099,3.438232101
3.708320009,3.188003082,3.414696223
3.708320009,4.050678328,3.926073158
3.708320009,3.688783124,3.867083585
3.708320009,4.615858442,4.40785237
3.708320009,3.585465422,3.557453455
3.708320009,3.737036652,3.742087715
3.708320009,4.580003733,4.311552517
3.708320009,4.007344504,3.990743496
3.708320009,3.187694148,3.232657498
3.708320009,3.338362924,3.523529803
3.708320009,4.027398013,3.711598522
3.708320009,3.786450968,3.734090728
3.708320009,3.375853866,2.968328211
3.708320009,3.453165676,3.527157625
3.708320009,3.328993118,3.141378146
3.708320009,4.148080841,3.966385562
3.708320009,3.086356044,3.218009714
3.708320009,4.098936828,3.900993522
3.708320009,4.241181299,3.829963485
3.708320009,3.386612001,3.443942329
3.708320009,4.175416995,4.243469408
3.708320009,3.984171756,4.322107289
3.708320009,3.62509791,3.799170564
3.708320009,4.677306657,4.650568466
3.708320009,3.373892092,3.398181622
3.708320009,4.441798763,4.317250343
3.708320009,3.123634682,3.45552509
3.708320009,3.76708834,3.224569466
3.708320009,3.934763964,3.70901971
3.708320009,3.576449484,3.585990829
3.708320009,3.800514324,3.752814924
3.708320009,4.416409784,4.698847988
3.708320009,3.251149704,3.334456907
3.708320009,3.576291489,3.627656871
3.708320009,4.029172756,4.067420377
3.708320009,3.423954882,3.44446362
3.708320009,3.628651382,3.706767114
3.708320009,3.12965895,3.091020177
3.708320009,3.065780259,3.248844126
3.708320009,4.057772576,4.057493712
3.708320009,3.726358659,3.723440868
3.708320009,3.386015195,3.362847091
3.708320009,4.41262087,4.29260583
3.708320009,3.873775428,3.954427825
3.708320009,2.883189795,2.73034498
3.708320009,4.231751846,4.124142011
3.708320009,3.552345262,3.651347052
3.708320009,3.060476687,3.247081831
3.708320009,4.133936563,4.109024631
3.708320009,3.661147101,4.055535824
3.708320009,3.986039107,4.089157035
3.708320009,3.628788109,3.920599625
3.708320009,3.78006354,3.877446765
3.708320009,4.065753057,3.903313077
3.708320009,3.509987612,3.700279442
3.708320009,3.107004257,3.202105601
3.708320009,4.627990895,4.733517164
3.708320009,2.131933064,2.439086969
3.708320009,2.562774706,2.669075228
3.708320009,3.483156876,3.585071944
3.708320009,3.17976409,2.886559863
3.708320009,1.628564113,1.78468861
3.708320009,4.16369959,4.713315902
3.708320009,4.400752298,4.457299573
3.708320009,4.776058877,4.486280918
3.708320009,4.206170089,4.202261742
3.708320009,4.480641471,4.616919076
3.708320009,3.600487881,3.324248028
3.708320009,4.29283473,4.378053586
3.708320009,3.925347534,3.995157828
3.708320009,4.433536335,4.614507034
3.708320009,3.847460705,3.660216774
