P_1_4,P_2_4,P_3_4,P_4_4
3.656268689,3.534954648,3.661805126,2.848364737
3.656268689,3.849888063,3.564575323,2.974514726
3.656268689,3.548277661,3.586772249,3.889094281
3.656268689,4.759461717,4.521168073,3.853359647
3.656268689,3.717799124,3.605948571,3.554561281
3.656268689,4.470294911,4.431724708,4.28905012
3.656268689,3.940372325,4.068262999,2.812989772
3.656268689,1.60554372,1.819549828,1.345151001
3.656268689,2.967705856,3.042001047,2.52993633
3.656268689,3.726945515,3.738023276,3.569838369
3.656268689,3.703220485,3.665629529,1.826050257
3.656268689,2.189783328,2.05990511,2.164411985
3.656268689,3.516497418,3.2602143,2.160473226
3.656268689,2.18382449,2.175549973,2.207506743
3.656268689,2.833408368,3.126551067,3.522192429
3.656268689,3.201661566,3.504522643,4.237648007
3.656268689,3.892487092,3.840701078,3.328099137
3.656268689,3.951954526,3.800354437,3.802226397
3.656268689,4.409033241,4.045402742,3.533539455
3.656268689,4.87849233,4.431180453,4.263252199
3.656268689,3.621813001,3.670550421,3.71898071
3.656268689,3.173148319,3.125280864,1.048067425
3.656268689,3.109375176,3.597536142,3.294510189
3.656268689,3.170307697,2.981638935,3.317761709
3.656268689,4.026618611,4.096467061,5.435030568
3.656268689,3.810900939,3.915451087,5.45503291
3.656268689,4.004881711,3.701696967,2.760425184
3.656268689,4.780035371,4.920081781,4.525268804
3.656268689,3.625597221,3.541357445,2.87688613
3.656268689,3.564468157,3.678105342,4.208557161
3.656268689,3.624860458,3.757600862,3.01805454
3.656268689,2.665927612,2.864664636,3.359696959
3.656268689,4.016598847,4.054559324,3.625877353
3.656268689,3.567542836,3.4265743,4.400177249
3.656268689,3.833450871,3.886696745,3.470690082
3.656268689,3.292676545,3.363783023,2.427867857
3.656268689,2.323837276,2.420051562,4.280707809
3.656268689,3.225134081,3.222856032,4.528272196
3.656268689,5.062236509,4.599087748,4.430423647
3.656268689,1.440938081,1.567685618,2.341663763
3.656268689,4.808922891,4.559566251,3.481033687
3.656268689,2.774021161,2.974177785,3.815210245
3.656268689,1.979400021,2.228448389,3.072052246
3.656268689,3.024742903,3.070436752,4.402348183
3.656268689,3.763376387,3.60390891,3.373273958
3.656268689,3.0463399,3.252295554,3.992945802
3.656268689,4.053681743,4.051849048,3.86379826
3.656268689,3.698400377,3.692495943,3.710838428
3.656268689,3.021314261,2.904359952,1.998619867
3.656268689,4.665056092,4.612105932,5.837830655
3.656268689,3.100300298,3.14924424,1.268522453
3.656268689,2.98243233,3.071340821,3.223760657
3.656268689,3.88908702,3.777177706,4.037002296
3.656268689,3.808413188,3.914502565,4.863060311
3.656268689,4.799870066,4.708832729,5.382586057
3.656268689,4.429105649,4.365743352,2.770907422
3.656268689,3.692800873,3.325931654,2.346883055
3.656268689,4.629993399,4.579448949,4.860349383
3.656268689,3.90601276,3.667411237,3.198651327
3.656268689,4.113145306,4.192070006,4.631100698
3.656268689,2.823992885,2.65262572,0.849529345
3.656268689,3.763353524,4.246827234,4.594914676
3.656268689,3.686199236,3.978713367,3.806609159
3.656268689,5.143130594,5.15466429,4.544682762
3.656268689,3.399739704,3.574483584,3.118551135
3.656268689,2.940214813,3.045890156,2.333676409
3.656268689,3.11192719,3.14811769,2.994830731
3.656268689,3.254529177,3.380508827,4.757060006
3.656268689,3.127069945,3.35570617,4.522036495
3.656268689,4.004471068,3.878797854,4.00147101
3.656268689,3.636398309,3.816227059,3.168643113
3.656268689,4.579298813,4.369509833,3.944175064
3.656268689,3.531316972,3.503064903,2.783042687
3.656268689,3.685475525,3.690569883,4.439553458
3.656268689,4.542832065,4.272079838,4.305826023
3.656268689,3.960397535,3.943654233,4.313127941
3.656268689,3.126755738,3.172104488,2.916161385
3.656268689,3.279996431,3.466750455,3.146562439
3.656268689,3.980793358,3.662287014,2.939851856
3.656268689,3.735733344,3.682924302,2.568613903
3.656268689,3.318127344,2.907108613,2.897865965
3.656268689,3.396758868,3.471385033,3.697657898
3.656268689,3.270466683,3.081243583,4.162132167
3.656268689,4.103536243,3.920283577,2.931802704
3.656268689,3.023687791,3.156469922,3.273108462
3.656268689,4.053553342,3.853913378,3.859432763
3.656268689,4.198225927,3.783483389,4.700482465
3.656268689,3.329069121,3.386890851,2.304702502
3.656268689,4.131339025,4.199974745,4.584370401
3.656268689,3.936829228,4.277661351,3.779663056
3.656268689,3.571625988,3.747190693,2.380306474
3.656268689,4.64179595,4.614828575,4.52719009
3.656268689,3.316132083,3.340629809,3.502483099
3.656268689,4.402267934,4.276651956,4.695367982
3.656268689,3.061602776,3.396337959,3.851509216
3.656268689,3.716040196,3.16887116,2.832416257
3.656268689,3.886578045,3.65889884,1.459096804
3.656268689,3.522147132,3.531770261,4.19581384
3.656268689,3.750036762,3.701928509,5.205233971
3.656268689,4.376445564,4.661304668,5.573709211
3.656268689,3.191294481,3.275315745,1.419669716
3.656268689,3.52198644,3.573792097,3.619826206
3.656268689,3.982598396,4.021173854,4.877636178
3.656268689,3.367049446,3.387733973,5.020505811
3.656268689,3.575240117,3.654025413,4.326073209
3.656268689,3.067729878,3.028759916,3.289389232
3.656268689,3.002760777,3.187393763,2.149439074
3.656268689,4.011686415,4.011405161,4.956228265
3.656268689,3.674615259,3.671672458,3.147256714
3.656268689,3.328462128,3.30509544,3.594916489
3.656268689,4.372591974,4.251548234,4.097679934
3.656268689,3.824548433,3.905892136,2.799459994
3.656268689,2.817053492,2.662898579,4.869265145
3.656268689,4.188635514,4.080103308,3.833843194
3.656268689,3.49763145,3.597481827,3.33268456
3.656268689,2.997366674,3.18557129,4.219709385
3.656268689,4.089150522,4.06402506,4.456873978
3.656268689,3.608290538,4.006059736,5.400112339
3.656268689,3.938728455,4.042730251,2.850184907
3.656268689,3.575379178,3.869691936,5.282552062
