P_1_5,P_2_5,P_3_5,P_4_5,P_5_5
3.496613957,3.372224005,3.501239822,2.680827088,1.792618089
3.496613957,3.69514254,3.404959508,2.809841249,4.222937762
3.496613957,3.385884822,3.425036513,3.729949877,3.764070654
3.496613957,4.627778385,4.385417066,3.711884567,3.159824416
3.496613957,3.559704493,3.44594465,3.394116898,3.58486023
3.496613957,4.33127977,4.292051173,4.14815366,3.864453201
3.496613957,3.787921026,3.917994795,2.651962083,2.504747896
3.496613957,1.393892967,1.611552163,1.13308706,1.021510603
3.496613957,2.790592651,2.866156062,2.349702219,0.855631745
3.496613957,3.569082791,3.580349649,3.410723157,4.204488562
3.496613957,3.544756214,3.506523579,1.651176486,2.374440769
3.496613957,1.99294594,1.860850699,1.966253347,2.743603391
3.496613957,3.353298793,3.092640919,1.983473493,2.341018327
3.496613957,1.986836015,1.978420252,2.010650937,2.707482286
3.496613957,2.652890058,2.951036706,3.35006928,3.367536215
3.496613957,3.030480296,3.338511215,4.07792051,4.349135807
3.496613957,3.738821665,3.686151663,3.169155991,2.449329969
3.496613957,3.799796893,3.645608989,3.647496994,4.14301441
3.496613957,4.268464814,3.898627137,3.382376452,3.819712542
3.496613957,4.749827013,4.294879517,4.125511878,3.807152194
3.496613957,3.461284647,3.510854016,3.559699421,3.526283579
3.496613957,3.001244096,2.952559544,0.857541418,0.483025259
3.496613957,2.935853989,3.432347869,3.12672455,2.815296379
3.496613957,2.998331451,2.806442111,3.145445937,3.057632927
3.496613957,3.876354082,3.947394845,5.297431754,5.101240212
3.496613957,3.655166899,3.76150172,5.314279959,4.30737393
3.496613957,3.854066044,3.545705932,2.596366105,2.073058691
3.496613957,4.648873683,4.791310687,4.393113599,4.763287949
3.496613957,3.465164816,3.379487066,2.709320282,2.768921066
3.496613957,3.402485828,3.518062801,4.05306135,3.098563406
3.496613957,3.464409372,3.599415657,2.853530367,3.420271738
3.496613957,2.481162836,2.683292303,3.182567761,3.387955137
3.496613957,3.866080267,3.90468873,3.472332342,2.886531785
3.496613957,3.405638466,3.262263595,4.244211712,4.260049627
3.496613957,3.678288584,3.732443365,3.312870932,3.73555058
3.496613957,3.123802955,3.19612322,2.252185925,2.100976924
3.496613957,2.130398818,2.228255483,4.104860212,4.248081891
3.496613957,3.054547955,3.052231019,4.368836465,4.557409947
3.496613957,4.938230016,4.4671753,4.297065506,4.525652185
3.496613957,1.225113762,1.354024881,2.134637124,2.214968133
3.496613957,4.678493644,4.424880483,3.337103354,2.72612314
3.496613957,2.591997091,2.795570391,3.643811701,3.754601534
3.496613957,1.777228375,2.030528002,2.881362749,3.161699112
3.496613957,2.84907587,2.895549713,4.238877528,4.413218033
3.496613957,3.606437365,3.444247777,3.211635954,2.323976653
3.496613957,2.871220457,3.080691777,3.827690455,3.786609243
3.496613957,3.904103398,3.902239419,3.712576767,3.874855779
3.496613957,3.539813893,3.533808669,3.552308376,2.712001955
3.496613957,2.845560294,2.726609573,1.813106003,1.928597551
3.496613957,4.530979111,4.477125091,5.713356026,5.675968167
3.496613957,2.926549018,2.976328434,1.079486174,1.590423199
3.496613957,2.805692514,2.896118674,3.049844966,3.652004432
3.496613957,3.735335385,3.621515777,3.883567435,3.397223767
3.496613957,3.652616072,3.760516396,4.717204637,4.376517884
3.496613957,4.669211286,4.57661994,5.256148297,4.743363387
3.496613957,4.289046157,4.224602264,2.616096313,2.766099829
3.496613957,3.534072413,3.160940732,2.173500288,2.07735155
3.496613957,4.495027405,4.44362016,4.726928313,3.998798083
3.496613957,3.752690275,3.510015822,3.03723797,3.120976151
3.496613957,3.965074657,4.045346602,4.488140414,3.853236544
3.496613957,2.643235845,2.46894344,0.650391954,0.596520061
3.496613957,3.606413923,4.098140535,4.449211583,4.047170502
3.496613957,3.527303391,3.824810743,3.651231355,3.428798638
3.496613957,5.021175166,5.032905742,4.417695801,4.935354485
3.496613957,3.233580694,3.411307454,2.951467012,2.385064613
