P_1_6,P_2_6,P_3_6,P_4_6,P_5_6,P_6_6
3.659297345,3.533885412,3.666282489,2.853912832,1.987480637,1.92723323
3.659297345,3.873960352,3.576289783,2.99372608,4.383471497,4.128101385
3.659297345,3.549491804,3.589895469,3.901035913,3.932140683,3.628758521
3.659297345,4.785146172,4.536691862,3.873699828,3.332209778,3.484278177
3.659297345,3.701939053,3.585267507,3.5382768,3.727653537,3.738666245
3.659297345,4.480199584,4.440089402,4.308078596,4.034960275,3.575531106
3.659297345,3.933743226,4.066853364,2.818870638,2.656344727,2.714629336
3.659297345,1.587589601,1.81156517,1.338809427,1.218425717,0.903008657
3.659297345,2.956635162,3.034953176,2.515426184,1.048496182,1.374637006
3.659297345,3.737881986,3.749187708,3.575423749,4.364033453,4.669336347
3.659297345,3.713707506,3.673942005,1.861826775,2.560833353,2.258963311
3.659297345,2.178134961,2.042976063,2.158563492,2.924741803,2.87157101
3.659297345,3.515464933,3.247586528,2.151447667,2.496380591,2.069029274
3.659297345,2.168778584,2.160215651,2.191403606,2.863233997,3.336292052
3.659297345,2.789806771,3.095597849,3.499322704,3.506411324,3.773771169
3.659297345,3.191425756,3.507457046,4.224387081,4.499669683,4.588431869
3.659297345,3.901802966,3.847475794,3.32912292,2.618180699,2.881852264
3.659297345,3.984598687,3.826632981,3.815895254,4.301583693,4.429943062
3.659297345,4.416022662,4.037266999,3.543415085,3.981151951,3.95239296
3.659297345,4.918000278,4.451970659,4.282735195,3.979502136,3.90391279
3.659297345,3.637340993,3.688275039,3.721618789,3.689851903,3.757166467
3.659297345,3.16487286,3.114645784,1.054735521,0.691371208,0.619125067
3.659297345,3.09605933,3.605059019,3.312882716,3.001180999,3.214640431
3.659297345,3.134545947,2.937458006,3.286964421,3.192342611,3.383437558
3.659297345,4.039539922,4.112684385,5.415987392,5.2197741,5.268195157
3.659297345,3.81344448,3.922636355,5.457820167,4.471375821,4.416905249
3.659297345,4.044789629,3.728202595,2.798035386,2.287358586,2.28542616
3.659297345,4.762858892,4.908807859,4.522643876,4.885727018,4.787628999
3.659297345,3.637310578,3.548913882,2.905881922,2.957766783,3.036425503
3.659297345,3.571267615,3.690074314,4.224946202,3.298575576,3.161241746
3.659297345,3.616877153,3.755126603,3.026019992,3.580777273,3.657389597
3.659297345,2.636748161,2.843980076,3.331595077,3.545952783,3.576978617
3.659297345,4.002186425,4.041696262,3.615573198,3.027209826,2.770449361
3.659297345,3.564528231,3.417252225,4.377283766,4.384944151,4.145695551
3.659297345,3.855919484,3.911212134,3.490804484,3.921311393,3.434426919
3.659297345,3.267614792,3.341404001,2.442167854,2.271331113,2.604364988
3.659297345,2.294829009,2.39483513,4.244406209,4.387198504,4.524149895
3.659297345,3.216145943,3.21399221,4.492512149,4.671397626,5.053617911
3.659297345,5.085260117,4.602083518,4.431823205,4.654845619,4.459812843
3.659297345,1.44751376,1.579426043,2.342713143,2.420766603,2.856005838
3.659297345,4.842179621,4.582085046,3.503811443,2.905340353,2.863021122
3.659297345,2.776315736,2.984398924,3.813287165,3.920611573,3.82701577
3.659297345,1.969694243,2.230001628,3.053643695,3.323104938,3.037639663
3.659297345,3.008004786,3.055351975,4.374182972,4.546175739,4.740070265
3.659297345,3.782440424,3.616316501,3.381329845,2.49294682,2.423964092
3.659297345,3.015787558,3.230770367,3.96079961,3.925410406,4.256538288
3.659297345,4.041865221,4.039864784,3.848555097,4.000360026,4.029154889
3.659297345,3.700464036,3.694001028,3.728108746,2.898761179,3.137280594
3.659297345,3.020457444,2.898247447,1.989467304,2.104572998,2.509977196
3.659297345,4.686727553,4.631618062,5.840573339,5.803676469,5.553319439
3.659297345,3.111600487,3.16262028,1.306826162,1.805291644,1.63315389
3.659297345,2.954055673,3.046670363,3.213869072,3.8014105,4.262425166
3.659297345,3.912420819,3.795755969,4.048158489,3.567681572,3.807731126
3.659297345,3.811094217,3.921346595,4.853408169,4.515929973,4.580803753
3.659297345,4.80973487,4.714624893,5.375794416,4.873325166,5.030090787
3.659297345,4.461786145,4.395765094,2.814554716,2.964962095,2.758383536
3.659297345,3.695414904,3.312760693,2.360392751,2.262047341,2.2613089
3.659297345,4.655039596,4.602463022,4.885724051,4.164427912,3.898314929
3.659297345,3.917103995,3.668067508,3.197786613,3.27576498,3.143116918
3.659297345,4.148769824,4.231206322,4.658194567,4.041271853,4.149591186
3.659297345,2.849733061,2.671912088,0.905222566,0.865567299,0.904473962
3.659297345,3.741301027,4.245162227,4.600445667,4.207027639,4.132529495
3.659297345,3.662659239,3.96729339,3.81137961,3.589148371,3.538915687
3.659297345,5.170413551,5.182310661,4.586108242,5.094003518,5.309792258
3.659297345,3.40243167,3.584671425,3.143250155,2.595582352,1.921324548
3.659297345,2.921370704,3.032048275,2.335006853,1.926963871,2.016903424
3.659297345,3.108238644,3.146325917,2.995862451,2.572381053,2.534497548
3.659297345,3.274709928,3.405774598,4.755475669,5.397195376,5.234329209
3.659297345,3.102341571,3.340867582,4.494605909,4.020002168,4.359943889
3.659297345,4.023682972,3.89316877,3.99997216,3.883670763,3.489821116
3.659297345,3.611941878,3.799721976,3.172681321,2.742219954,3.07770442
3.659297345,4.593339312,4.374968765,3.955830201,4.478958937,4.672322209
3.659297345,3.51608447,3.486401709,2.768949315,3.060259298,3.273879645
3.659297345,3.677943774,3.683428237,4.421687267,4.253258889,4.888188378
3.659297345,4.552042365,4.269658761,4.298118401,4.156827276,4.280888703
3.659297345,3.972433187,3.955314147,4.342509613,4.252854982,4.440074718
3.659297345,3.138469431,3.185663444,2.939601293,2.196783468,2.066772017
3.659297345,3.279570604,3.474474644,3.148924625,2.622636138,2.60776843
3.659297345,4.00047928,3.66881619,2.967808621,2.015893032,1.911537739
3.659297345,3.737193945,3.682327452,2.586044391,2.627849173,2.543254404
3.659297345,3.33078985,2.902872461,2.899487227,3.42297711,3.33791522
3.659297345,3.416741665,3.494360576,3.725563177,2.774076565,2.758294571
3.659297345,3.276020596,3.07848887,4.143884761,4.024893237,4.063102232
3.659297345,4.13723354,3.945645067,2.971778736,2.683915285,2.371871214
3.659297345,3.020994641,3.16013467,3.261681112,3.797870725,3.587802052
3.659297345,4.089224165,3.881588786,3.875982209,3.444990583,3.363656015
3.659297345,4.205418198,3.772846081,4.687538586,4.300646025,3.960439878
3.659297345,3.333168236,3.393492337,2.32461453,2.241667438,2.111048988
3.659297345,4.130185638,4.201418341,4.581434059,4.893664087,5.090164343
3.659297345,3.924463524,4.279448367,3.791583585,3.312857899,3.08436991
3.659297345,3.578302635,3.761659362,2.41425663,2.973910034,3.100816649
3.659297345,4.678351975,4.650002047,4.552656669,4.699556832,4.752329187
3.659297345,3.305803578,3.331267008,3.497016669,3.566429777,4.10736658
3.659297345,4.43303603,4.302299024,4.693311148,5.293812136,5.73823567
3.659297345,3.046386431,3.395603171,3.827837238,3.472962192,3.558373819
3.659297345,3.746265227,3.17594895,2.849886535,2.845361234,2.938653124
3.659297345,3.90205754,3.664489328,1.505846466,2.272402101,2.101246332
3.659297345,3.527033559,3.537563825,4.181131997,3.942393025,4.056867498
3.659297345,3.75767487,3.707009219,5.191661095,5.331289574,5.514690881
3.659297345,4.384036076,4.681142062,5.572013751,5.898678721,5.786823172
3.659297345,3.17276133,3.259952408,1.446265299,1.133748509,0.72742902
3.659297345,3.557370742,3.611661348,3.645482308,3.508180791,3.454002938
3.659297345,3.993831305,4.034361613,4.875668514,4.925278973,4.963738872
3.659297345,3.374939692,3.396458772,5.022107552,4.873054178,4.883679731
3.659297345,3.569632962,3.651783611,4.299315817,4.18564924,4.82525096
3.659297345,3.048881478,3.008362951,3.255433024,2.726207488,2.828444955
3.659297345,2.985081481,3.177517366,2.160456881,2.009558338,2.081267234
3.659297345,4.022146906,4.02227282,4.949331882,5.396807727,5.206524673
3.659297345,3.68138475,3.67810617,3.154864613,3.226110322,2.994837732
3.659297345,3.313137895,3.2888201,3.564514162,2.775637,2.678759943
3.659297345,4.396703871,4.270634513,4.112444116,3.504796534,3.479313373
3.659297345,3.832589158,3.917322469,2.810961275,3.231210393,3.257851825
3.659297345,2.81493841,2.653926635,4.832966592,4.187249753,4.44442018
3.659297345,4.195666188,4.082497113,3.846047258,4.185804395,4.339910838
3.659297345,3.490898869,3.595263139,3.333543839,3.490530905,3.79724131
3.659297345,3.004372701,3.200375931,4.217726658,4.423799312,4.515674636
3.659297345,4.098092337,4.072185581,4.460818114,4.308526433,4.487647544
3.659297345,3.581111027,3.995857193,5.377059519,5.350373106,5.46154725
3.659297345,3.949725188,4.058098406,2.883486016,1.897799996,1.773542224
3.659297345,3.562138092,3.868659725,5.252503247,4.971746385,4.926671967
3.659297345,3.688069923,3.790392341,4.349321634,4.932768955,4.517158957
3.659297345,4.044572716,3.873807143,5.021026894,5.344317629,5.565825384
3.659297345,3.44667763,3.646709164,2.656883185,2.779130022,2.578805454
3.659297345,3.042566054,3.142982326,4.635402145,4.56486483,4.50175689
3.659297345,4.602686906,4.713368605,4.341789446,3.828904382,4.070713705
3.659297345,2.028984161,2.352345518,3.300393615,4.023890902,4.082565784
3.659297345,2.502469685,2.614147933,2.633846015,3.476353747,3.520280615
3.659297345,3.410079214,3.51734887,3.825841979,3.182189393,3.399997608
3.659297345,3.120219836,2.811571539,1.87033198,1.880392077,2.101013569
3.659297345,1.522176576,1.686410543,1.866920818,2.378118792,1.819478315
3.659297345,4.120949026,4.699057523,5.376721777,5.122417153,4.963479459
3.659297345,4.400811209,4.46000436,4.982040173,4.49290407,4.278394012
3.659297345,4.746830634,4.442139732,5.350462013,5.535438355,5.479412176
3.659297345,4.171226126,4.166928175,5.780318637,5.697292966,5.641241723
3.659297345,4.430592342,4.57402366,5.982570315,6.466575173,6.391067077
3.659297345,3.574071466,3.283836598,2.935520913,3.078856085,3.201303281
3.659297345,4.23922239,4.329072714,4.199134891,3.522813384,3.423775628
3.659297345,3.880232873,3.95359029,3.075738888,3.256488647,3.219479745
3.659297345,4.402403066,4.592864212,4.911875275,5.001811741,4.683576078
3.659297345,3.836308058,3.639425952,3.867727604,4.150188152,3.885006626
3.659297345,1.988698659,2.420412225,1.005987772,2.112707556,2.371828621
3.659297345,4.286540417,3.925235984,4.487924345,4.784386192,4.839337048
3.659297345,3.457940166,3.501154672,3.825506845,2.852266184,3.004901055
3.659297345,4.154682978,3.979353613,3.333300845,4.005246513,4.003936017
3.659297345,4.163005895,4.037587179,4.857540673,4.351895044,4.436969232
3.659297345,2.484232061,2.517089591,2.126058156,1.447896033,1.491813534
3.659297345,4.826983781,4.63267604,4.585644998,5.084704548,5.206760115
3.659297345,3.761105899,3.887591835,4.27943271,4.322311503,4.334816335
3.659297345,4.602423275,4.494604941,3.74192003,3.876746022,3.994209523
3.659297345,3.133484991,3.218878322,3.02397768,3.021191825,3.033383119
3.659297345,3.187606577,3.173361486,3.655621375,3.24185197,3.341723599
3.659297345,3.889830889,4.006006029,4.051695558,4.614293871,4.520889184
3.659297345,3.482035082,3.634942359,3.382061288,2.746679059,2.898502177
3.659297345,4.059735371,4.26792241,3.825039621,4.189446306,4.250219775
3.659297345,2.875417708,2.672132033,2.02857029,1.937418014,2.085453333
3.659297345,3.660323676,3.513918046,4.17087737,4.137112716,4.458535545
3.659297345,5.198414106,4.700766268,4.524207275,4.904166384,4.998579208
