P_1_7,P_2_7,P_3_7,P_4_7,P_5_7,P_6_7,P_7_7
3.714403282,3.586894408,3.723807577,2.91251783,2.060435875,1.999672062,1.867765913
3.714403282,3.947040682,3.639331114,3.064328564,4.442634987,4.185075989,4.17895955
3.714403282,3.604580145,3.6465821,3.966616542,3.994971919,3.688989338,3.496568832
3.714403282,4.844586641,4.587909732,3.929775373,3.394214081,3.547585923,3.465550216
3.714403282,3.736961663,3.61637837,3.573821931,3.763455303,3.774562405,3.809788344
3.714403282,4.528578252,4.487242683,4.365987063,4.101109867,3.637742732,3.827080295
3.714403282,3.974340368,4.111627819,2.870998083,2.69176737,2.750551561,2.752900005
3.714403282,1.655951289,1.888163022,1.417064446,1.286841624,0.968720989,1.0983486
3.714403282,3.009077402,3.090821317,2.563768087,1.111404872,1.440341189,1.419863351
3.714403282,3.799777313,3.811218804,3.631827974,4.422041489,4.729961264,4.362713895
3.714403282,3.775547721,3.733908506,1.949492722,2.630233081,2.325775581,2.654850305
3.714403282,2.243050854,2.103669793,2.230432753,2.992006574,2.93838003,2.654722679
3.714403282,3.568820772,3.291425735,2.198919964,2.534197546,2.103183217,2.699800505
3.714403282,2.230367827,2.221584327,2.251996876,2.904584856,3.381697695,3.241595929
3.714403282,2.811693257,3.127749831,3.539627465,3.53639853,3.806050032,3.640917293
3.714403282,3.240783437,3.567523938,4.268119827,4.549829298,4.639352304,3.831054109
3.714403282,3.959285436,3.902835431,3.378682332,2.670530121,2.936461728,3.329188975
3.714403282,4.064611326,3.901513827,3.878058331,4.358080837,4.487540428,4.495170346
3.714403282,4.462489275,4.071569148,3.595882991,4.037772662,4.008767166,4.068227559
3.714403282,4.989384975,4.508278694,4.337724813,4.047019238,3.970781983,3.915044257
3.714403282,3.705631691,3.758366992,3.77649489,3.746104672,3.813996217,3.739948267
3.714403282,3.216686249,3.164486131,1.122027357,0.766700339,0.693834945,1.108965625
3.714403282,3.143859465,3.669727818,3.388494162,3.073847171,3.289136256,3.167484159
3.714403282,3.158685124,2.954709255,3.317714028,3.215472374,3.408205278,3.561969208
3.714403282,4.098407532,4.174282649,5.442022921,5.244106053,5.292942147,5.389036237
3.714403282,3.865465871,3.97845073,5.509198833,4.534760934,4.479823472,4.605347893
3.714403282,4.131239982,3.803712422,2.884744969,2.382321555,2.380372565,2.026415071
3.714403282,4.778725748,4.929437669,4.551996816,4.91110089,4.812162031,4.709981423
3.714403282,3.701690431,3.609817104,2.988408263,3.033021929,3.112354867,3.157071245
3.714403282,3.63171741,3.754772177,4.294102021,3.387918394,3.249407417,3.075548371
3.714403282,3.661403882,3.804081491,3.085504074,3.633032327,3.710301328,4.096404681
3.714403282,2.675991327,2.890101963,3.370236065,3.595401452,3.626693222,4.007388277
3.714403282,4.03365418,4.074404046,3.650861824,3.054892523,2.795931253,3.335230395
3.714403282,3.615028238,3.462588732,4.408932538,4.408481053,4.167181751,4.438178715
3.714403282,3.927658265,3.98456272,3.559716361,4.001740589,3.51068282,3.853936827
3.714403282,3.300491899,3.376382531,2.514139794,2.322210997,2.658099448,2.705082594
3.714403282,2.339986306,2.442999078,4.281389973,4.424976819,4.563102079,4.433124635
3.714403282,3.266368039,3.264359048,4.515752222,4.686482998,5.071979458,5.464467143
3.714403282,5.136935306,4.63749531,4.465625103,4.684994873,4.488290387,4.555125969
3.714403282,1.543378162,1.679422286,2.431926702,2.508371643,2.947341501,2.500293916
3.714403282,4.908427138,4.639621766,3.561609345,2.970517626,2.927835659,2.811634748
3.714403282,2.845488516,3.059865162,3.87650509,3.981283996,3.886885944,3.569740858
3.714403282,2.040100347,2.309646697,3.113155873,3.374051664,3.086139543,3.04381461
3.714403282,3.053773744,3.102400111,4.408038556,4.57915781,4.774714289,4.384519816
3.714403282,3.851921544,3.680439367,3.441063706,2.544342246,2.474768238,2.444033049
3.714403282,3.04726141,3.269598418,3.988915618,3.958915087,4.292881208,4.652436655
3.714403282,4.075328747,4.073174705,3.878578185,4.021210217,4.050251893,4.261291208
3.714403282,3.753889585,3.746913395,3.796921478,2.97142407,3.211987937,3.006678582
3.714403282,3.082301373,2.955784584,2.043938325,2.159644785,2.568523875,3.165035543
3.714403282,4.743705087,4.686867759,5.878909853,5.842187713,5.589684765,5.361976791
3.714403282,3.184379959,3.237077443,1.40642466,1.896691161,1.72307794,1.625568477
3.714403282,2.988796451,3.084393512,3.26649777,3.844457228,4.309423449,4.689475276
3.714403282,3.984098431,3.863588355,4.108505187,3.629776648,3.871883769,4.067841746
3.714403282,3.863296028,3.976845479,4.892269485,4.555107176,4.620537017,4.387377229
3.714403282,4.852541896,4.754098059,5.402575916,4.906115446,5.064224773,4.365699433
3.714403282,4.533827158,4.465663053,2.898195017,3.050295464,2.841946231,2.632043268
3.714403282,3.749489524,3.354032889,2.428574294,2.327189252,2.326444481,2.327724349
3.714403282,4.716009269,4.661812711,4.947454568,4.22680998,3.958416029,3.72142364
3.714403282,3.976150034,3.718616915,3.246801998,3.319688938,3.185903892,3.042452933
3.714403282,4.229083019,4.314390668,4.729233245,4.125003777,4.234251562,4.162855761
3.714403282,2.941713702,2.758839983,1.028869372,1.003090828,1.042330977,1.017305668
3.714403282,3.769313567,4.289628168,4.652169285,4.264002156,4.188865456,4.418070293
3.714403282,3.690466452,4.004838552,3.865253975,3.641319377,3.590656127,3.714715754
3.714403282,5.225026911,5.237192529,4.654887325,5.157372581,5.375010939,5.827675331
3.714403282,3.461503489,3.649818294,3.223032585,2.689405083,2.009367926,1.817225211
3.714403282,2.966434297,3.081258882,2.399519834,1.996621571,2.087332034,1.385884812
3.714403282,3.165705767,3.205398503,3.057782731,2.643271585,2.605063364,2.261198252
3.714403282,3.353857579,3.488980208,4.811601026,5.450581636,5.286319474,5.106208327
3.714403282,3.138334377,3.384891859,4.525930256,4.058130252,4.40098576,4.171044248
3.714403282,4.089266809,3.954938169,4.045735768,3.927247719,3.530022218,3.31758839
3.714403282,3.639660635,3.833931947,3.227610668,2.797136307,3.135496354,3.19086403
3.714403282,4.644059786,4.418817025,4.005927777,4.536634579,4.731655251,4.971885612
3.714403282,3.554869853,3.523984239,2.809123695,3.093495608,3.308946988,3.60269528
3.714403282,3.721908591,3.72774321,4.455185769,4.281324506,4.921696248,4.91727091
3.714403282,4.598503279,4.306689611,4.329817392,4.190950502,4.316075313,4.252114031
3.714403282,4.031518969,4.014163265,4.419232391,4.325696381,4.514520857,4.042169237
3.714403282,3.211221938,3.259891628,3.023795125,2.285380706,2.154254871,2.448430881
3.714403282,3.33750762,3.539044389,3.208086406,2.687914107,2.672918962,2.405247963
3.714403282,4.066938594,3.724712838,3.045316524,2.103548015,1.998298247,2.091414318
3.714403282,3.789384689,3.732891911,2.65479071,2.70359057,2.618270703,2.583841244
3.714403282,3.401287412,2.959819599,2.962341985,3.482413853,3.396622861,3.801497743
3.714403282,3.49330255,3.573305643,3.809480236,2.866999279,2.851082011,2.896952318
3.714403282,3.340148549,3.135845109,4.185615512,4.073557516,4.112094017,4.13777714
3.714403282,4.215764269,4.017325927,3.058199404,2.770416559,2.455697824,2.159750429
3.714403282,3.08094666,3.225370624,3.311695607,3.855163398,3.643294136,3.689439818
3.714403282,4.170584225,3.956581555,3.93975365,3.510911325,3.428879603,3.590875283
3.714403282,4.255627488,3.808597691,4.720963855,4.337249299,3.9941271,4.36960432
3.714403282,3.394845366,3.457201883,2.401748709,2.332934215,2.201196178,2.071701593
3.714403282,4.173100333,4.246368974,4.621967211,4.932786417,5.13097096,5.250549336
3.714403282,3.959334356,4.325696638,3.848052227,3.38374976,3.153303303,3.517761203
3.714403282,3.638508433,3.828231919,2.50047766,3.054787855,3.18278224,3.228939606
3.714403282,4.750732043,4.721216897,4.614081424,4.754899987,4.808124676,4.983959443
3.714403282,3.353146552,3.379375769,3.549055197,3.614743008,4.160316412,3.785739012
3.714403282,4.503598681,4.368764312,4.731835071,5.321510249,5.769743128,5.7099502
3.714403282,3.093071565,3.454049217,3.863149488,3.506709831,3.592853558,3.825401158
3.714403282,3.827797475,3.238785713,2.923204865,2.919537843,3.013629378,3.490299627
3.714403282,3.965855637,3.720248604,1.60311771,2.359496694,2.186873875,2.129098236
3.714403282,3.586264221,3.597627618,4.220544878,3.978783745,4.094239428,4.165694646
3.714403282,3.81585601,3.763019891,5.228858295,5.369722473,5.554695791,5.709729236
3.714403282,4.431655869,4.738692812,5.60784708,5.924522364,5.811708053,5.988872281
3.714403282,3.213924546,3.303598546,1.532230006,1.221803133,0.812000905,0.713462444
3.714403282,3.647363386,3.703719966,3.725223093,3.584858577,3.530216343,4.023338247
3.714403282,4.051734857,4.093908933,4.919930507,4.971736283,5.010525838,5.220380651
3.714403282,3.439803005,3.461988003,5.08045267,4.93602249,4.946739118,4.697170075
3.714403282,3.617389011,3.702264294,4.325070776,4.214433339,4.859517359,4.482008228
3.714403282,3.091800592,3.050051416,3.283446024,2.755207069,2.858320856,2.475860193
3.714403282,3.03027013,3.229006678,2.233019489,2.091895531,2.164219074,1.727068271
3.714403282,4.078783219,4.079322183,4.988464938,5.434986864,5.243072813,5.065984664
3.714403282,3.739955665,3.736363437,3.214306132,3.281026204,3.047771278,3.297714246
3.714403282,3.355235379,3.330156909,3.591602896,2.813678978,2.715971546,3.158689112
3.714403282,4.461051338,4.330941985,4.168392445,3.567043212,3.541341623,3.230035238
3.714403282,3.889925798,3.977386463,2.871096826,3.293938753,3.320808539,3.03039427
3.714403282,2.878941502,2.71232419,4.86380331,4.223955221,4.483329966,4.539556752
3.714403282,4.245873458,4.128950139,3.902394631,4.242505268,4.397932623,4.408040545
3.714403282,3.538822392,3.646890659,3.388275708,3.54895617,3.858295521,3.816227618
3.714403282,3.074548793,3.276818011,4.277237478,4.484517307,4.577180134,4.39195743
3.714403282,4.151896836,4.125415621,4.509795628,4.35105082,4.531707255,4.525961533
3.714403282,3.606555111,4.035043287,5.403285192,5.370824119,5.482951185,5.411145676
3.714403282,4.008126831,4.120025073,2.963499346,1.988288772,1.862965933,2.130259789
3.714403282,3.602192441,3.918526356,5.27310456,4.991691892,4.946231122,5.108903938
3.714403282,3.697376763,3.803004127,4.361208837,4.934921337,4.515748968,4.847548305
3.714403282,4.115504552,3.939138645,5.064886478,5.381906612,5.605313004,5.829893918
3.714403282,3.494173877,3.700752474,2.742629536,2.865952783,2.663911148,2.795360499
3.714403282,3.102741233,3.206880696,4.662011062,4.586547735,4.522898869,4.928671336
3.714403282,4.650182672,4.764247217,4.379732853,3.8736757,4.117557674,4.32189278
3.714403282,2.08375017,2.418169839,3.352146614,4.062428201,4.121606011,4.302709357
3.714403282,2.585473113,2.700745077,2.718801459,3.536790731,3.581094116,3.382300131
3.714403282,3.448643988,3.559559523,3.864755922,3.224095176,3.443770319,3.372608657
3.714403282,3.182836245,2.8636594,1.936701852,1.940047284,2.162559816,2.022528575
3.714403282,1.590733156,1.760458211,1.932342842,2.435615313,1.87218649,1.689329391
3.714403282,4.166767524,4.764150053,5.424918705,5.18303604,5.022736023,4.985424744
3.714403282,4.481678451,4.542566621,5.036219328,4.56199801,4.345649295,4.378513019
3.714403282,4.785291801,4.470549044,5.386233422,5.565978907,5.509472504,5.764593193
3.714403282,4.223461983,4.218838374,5.821158605,5.730491368,5.673959685,5.362583655
3.714403282,4.45818294,4.606483089,6.018915415,6.50253943,6.426384122,5.92067186
3.714403282,3.655674588,3.356080583,2.998838565,3.144785054,3.268281797,3.704758222
3.714403282,4.269658441,4.362712776,4.234212669,3.565345214,3.465458562,3.441517086
3.714403282,3.931839231,4.007572297,3.144924442,3.325567743,3.288241621,3.568691589
3.714403282,4.450686723,4.647604012,4.963821248,5.052584251,4.731620853,4.869328946
3.714403282,3.924837987,3.721458745,3.931382984,4.210399659,3.942945149,4.040939285
3.714403282,2.058654509,2.504703484,1.099021568,2.187547721,2.448889825,2.623354721
3.714403282,4.361884433,3.988386176,4.536938319,4.836879519,4.892301382,4.767411164
3.714403282,3.482148654,3.526545637,3.844398316,2.879635728,3.033578899,3.47261658
3.714403282,4.244637711,4.063280723,3.431149342,4.102555079,4.101233351,3.986770173
3.714403282,4.214375259,4.085119951,4.897404023,4.381095152,4.466898547,4.638913126
3.714403282,2.550579006,2.584705662,2.197897753,1.521378574,1.565672512,1.951420682
3.714403282,4.890848808,4.690089876,4.6393638,5.146350494,5.269452251,5.408264078
3.714403282,3.803319378,3.933512237,4.319267034,4.364402552,4.377014569,4.330048107
3.714403282,4.667275074,4.555683008,3.792508877,3.931215975,4.049686306,4.305428856
3.714403282,3.18403756,3.272028671,3.096235601,3.094407877,3.106703668,3.365832096
3.714403282,3.257321845,3.242558867,3.711566865,3.311560009,3.412287681,3.351878862
3.714403282,3.949676946,4.070367095,4.132155612,4.69683153,4.602626232,4.69114322
3.714403282,3.524012222,3.68228525,3.447464855,2.819347593,2.972472052,2.959508575
3.714403282,4.089441662,4.305002778,3.855428551,4.214428654,4.275723039,4.332341728
3.714403282,2.907788445,2.697860338,2.070706526,1.976792629,2.126096822,2.430040206
3.714403282,3.70566889,3.554409528,4.229885829,4.188647964,4.512825846,4.18782583
3.714403282,5.257320172,4.743306571,4.556086081,4.938048078,5.033270154,4.970036617
3.714403282,3.555771464,3.536302061,4.9824955,5.130707019,5.17787237,4.882607609
3.714403282,4.057692429,4.179127117,4.572749985,4.436565703,4.644103286,4.141036272
3.714403282,4.050683867,4.258300155,4.19474414,4.307135058,4.360123735,5.34175735
3.714403282,5.214595381,5.106020291,5.823624627,5.838414356,5.77079895,5.757723588
3.714403282,3.865191758,3.59238733,3.324400159,3.270675743,3.486721371,3.721612321
3.714403282,3.482894627,3.614914394,3.944811836,3.279651294,3.494497744,3.674509997
3.714403282,4.076544153,3.913663207,5.295804101,5.344091815,5.241754606,5.295859862
3.714403282,4.636450688,4.333596403,4.757493715,4.775560507,4.816156847,4.933900162
3.714403282,3.180536849,3.136423875,3.26096933,3.433206493,3.807278752,3.94117605
