P_1_8,P_2_8,P_3_8,P_4_8,P_5_8,P_6_8,P_7_8,P_8_8
3.662404104,3.531705357,3.674308159,2.857144408,2.012109135,1.950308083,1.81727131,2.232897663
3.662404104,3.915009931,3.594623855,3.022253864,4.400935349,4.138979816,4.13281095,4.12580464
3.662404104,3.551622029,3.595582292,3.927253885,3.953102914,3.641897207,3.447827382,3.397460688
3.662404104,4.806609281,4.539509686,3.880591849,3.34636879,3.502358692,3.419619822,2.89839103
3.662404104,3.665072515,3.539543906,3.501056965,3.6925724,3.7038691,3.739396975,4.570909744
3.662404104,4.476830448,4.433915186,4.322375419,4.063468971,3.592192154,3.78315261,4.35103372
3.662404104,3.910060428,4.052701941,2.808791227,2.611319448,2.671107086,2.67347566,3.049392182
3.662404104,1.599563988,1.842002272,1.368522875,1.227344745,0.903793787,1.034532491,1.503129678
3.662404104,2.948368877,3.034239356,2.495142289,1.044897032,1.379448296,1.358794934,2.479717998
3.662404104,3.755299302,3.766974634,3.580419296,4.37900988,4.69218585,4.321790646,3.496795807
3.662404104,3.730806915,3.686937079,1.91492575,2.583234806,2.273580213,2.605475578,2.517670012
3.662404104,2.188250039,2.043452122,2.182477152,2.945974257,2.891432309,2.605343609,2.602090688
3.662404104,3.513823647,3.224534306,2.126297289,2.454793337,2.016421588,2.618152739,3.398263877
3.662404104,2.172131652,2.163052297,2.19295012,2.8318893,3.317146461,3.175843822,3.295914572
3.662404104,2.718737114,3.04776824,3.471329033,3.457754867,3.732009323,3.56546116,3.651179641
3.662404104,3.178976405,3.519226749,4.2094936,4.500044594,4.591095757,3.775869293,4.770614236
3.662404104,3.91176178,3.852705086,3.31825902,2.606826945,2.877298007,3.273391487,4.044729012
3.662404104,4.040520635,3.870893363,3.834519051,4.312990102,4.44465957,4.452354887,4.687298853
3.662404104,4.408262939,4.001827605,3.540229894,3.990059996,3.960559376,4.02052943,3.711767165
3.662404104,4.964592972,4.46428626,4.290952073,4.01028222,3.932743594,3.876528116,3.16786903
3.662404104,3.666742089,3.721730661,3.72479809,3.695524052,3.764574507,3.68989186,3.404436175
3.662404104,3.157128377,3.102507788,1.059993713,0.70965833,0.635549124,1.054238066,1.234297592
3.662404104,3.079664109,3.62690857,3.354206987,3.033917747,3.252881819,3.13018699,3.98384817
3.662404104,3.070955887,2.858343727,3.237958327,3.127220472,3.323243329,3.478325235,4.387183969
3.662404104,4.053461493,4.132717621,5.375761505,5.174444629,5.224114356,5.32103211,6.186386353
3.662404104,3.811676969,3.929423254,5.468856347,4.498072569,4.442197324,4.568797668,3.179347716
3.662404104,4.114158107,3.772882642,2.857238081,2.358761565,2.356779306,1.999787891,2.201376171
3.662404104,4.696610254,4.853376946,4.481424014,4.839627056,4.738999309,4.635942868,5.045509646
3.662404104,3.658856201,3.562718757,2.957606675,2.995331549,3.076018701,3.121118363,3.571590302
3.662404104,3.584353355,3.712710945,4.261121571,3.367357655,3.226482294,3.051133028,2.991799413
3.662404104,3.598371215,3.746699935,3.032492477,3.577484801,3.656072785,4.045485595,3.706757433
3.662404104,2.599228704,2.822053295,3.298821934,3.536724991,3.568550912,3.952509067,4.425861017
3.662404104,3.960753257,4.003092438,3.578500694,2.969817155,2.706435414,3.25035712,3.392864317
3.662404104,3.557571345,3.398661714,4.339429302,4.330862078,4.085443794,4.358763589,4.399773492
3.662404104,3.894119832,3.953123844,3.520197235,3.977527562,3.47808743,3.824283615,3.525059373
3.662404104,3.22271608,3.301358624,2.468718646,2.25405269,2.595674761,2.643060619,2.917105169
3.662404104,2.266257771,2.373160161,4.216128509,4.36174065,4.502223709,4.371132173,4.12120846
3.662404104,3.205644718,3.20376325,4.438755886,4.602795368,4.994872256,5.390724122,5.243751725
3.662404104,5.093698511,4.573714204,4.39876093,4.616358369,4.416296135,4.483704593,5.320190369
3.662404104,1.513528662,1.654870719,2.40304249,2.478534154,2.924997233,2.474117812,2.480415364
3.662404104,4.87780403,4.597983815,3.51099247,2.922213621,2.878803072,2.761606154,2.487349969
3.662404104,2.80010834,3.022615959,3.834007344,3.937138853,3.841129425,3.521265953,4.026051502
3.662404104,1.989050168,2.27014588,3.060409387,3.314975975,3.022149191,2.979461473,3.622401071
3.662404104,2.986775048,3.03709739,4.34073447,4.512446947,4.711341577,4.317802581,4.539090707
3.662404104,3.815476276,3.637165999,3.391349541,2.478603462,2.407841825,2.376843192,2.830666885
3.662404104,2.965911787,3.19750874,3.912279474,3.887410468,4.227077395,4.589714746,5.179307452
3.662404104,4.004780805,4.002454695,3.802903372,3.937585066,3.967122484,4.179970708,3.303335258
3.662404104,3.700548473,3.692999306,3.759336393,2.930613453,3.175283749,2.968214599,3.051929241
3.662404104,3.031622171,2.89971416,1.97698596,2.094284955,2.510143617,3.111768242,3.861220555
3.662404104,4.702400095,4.643347751,5.828694165,5.791831994,5.535018818,5.305359061,4.940206283
3.662404104,3.145511261,3.200338128,1.379135369,1.865405174,1.688828373,1.590483114,1.342592311
3.662404104,2.910212628,3.009611463,3.208182163,3.78151359,4.25441679,4.637726204,4.475418289
3.662404104,3.950982602,3.825594356,4.065124787,3.584041237,3.83028113,4.027918747,4.408911777
3.662404104,3.809668947,3.927488754,4.834121683,4.494385298,4.560932027,4.325773726,4.032386517
3.662404104,4.79799928,4.695377781,5.336722352,4.842015287,5.002823542,4.298310842,4.150426926
3.662404104,4.505786689,4.434895266,2.867734133,3.022831366,2.810925609,2.599223478,2.344741662
3.662404104,3.696759768,3.285111081,2.378629332,2.273335642,2.272578158,2.273868996,1.822846534
3.662404104,4.678459022,4.622177937,4.91264898,4.186478991,3.913503552,3.6744798,3.964357349
3.662404104,3.930334503,3.662097324,3.184704257,3.253124515,3.117055757,2.972375218,2.831193463
3.662404104,4.20670264,4.295612648,4.701865351,4.10515002,4.216262665,4.144254901,4.891309878
3.662404104,2.919966176,2.73047222,1.0223922,1.010269421,1.0501794,1.024939588,1.386115625
3.662404104,3.690691653,4.231919493,4.604825783,4.218582405,4.142163121,4.373332571,4.022490648
3.662404104,3.610963377,3.937768045,3.813316232,3.585758834,3.534230762,3.659353757,4.444675695
3.662404104,5.185483358,5.198021761,4.624622585,5.126004837,5.347358285,5.803902657,5.626673779
3.662404104,3.411302481,3.607306462,3.191498152,2.667337,1.975691601,1.781901948,2.323174285
3.662404104,2.897981612,3.017937422,2.345657271,1.944450313,2.036709205,1.329249578,0.788754888
3.662404104,3.111364654,3.153003076,3.006969721,2.597875874,2.559015438,2.212202911,2.637494316
3.662404104,3.322809724,3.463148504,4.77002582,5.411744311,5.244678191,5.063023234,4.331911425
3.662404104,3.062284334,3.318986637,4.457105434,3.992099453,4.340807509,4.108895069,4.70803994
3.662404104,4.050958647,3.911664181,3.987234253,3.865543942,3.461537796,3.247283107,3.61071738
3.662404104,3.559633626,3.762061334,3.171262392,2.737085257,3.081221114,3.13706337,3.018734464
3.662404104,4.59564363,4.361598003,3.951419019,4.494252805,4.692602481,4.93489196,4.496487979
3.662404104,3.485182693,3.452829492,2.734433421,3.014304739,3.233433875,3.529700011,3.662182674
3.662404104,3.658832625,3.66506741,4.387928721,4.207144333,4.858447228,4.853983959,5.64861274
3.662404104,4.545437079,4.241692086,4.259686247,4.122053303,4.249313996,4.184804475,4.269536546
3.662404104,3.986217772,3.96847664,4.394891447,4.296672321,4.488720033,4.012319684,3.338503034
3.662404104,3.172556346,3.223118884,2.994964343,2.254624064,2.121259909,2.417957428,2.190081079
3.662404104,3.285108986,3.495005942,3.155803213,2.637288483,2.62203737,2.352072049,2.421348865
3.662404104,4.029314524,3.673592739,3.009984282,2.070290551,1.963244169,2.057158378,2.643618635
3.662404104,3.735113016,3.67650973,2.607349521,2.663562743,2.576786465,2.542061896,3.15036531
3.662404104,3.36199601,2.903193761,2.911645389,3.432757001,3.345501556,3.753846794,3.076330066
3.662404104,3.460863172,3.543936188,3.787107126,2.845553417,2.829364441,2.875627921,3.07071563
3.662404104,3.29396349,3.081137164,4.12428011,4.018195145,4.057389465,4.083292729,3.863250261
3.662404104,4.191487262,3.984498152,3.031890353,2.741721403,2.421630416,2.123146329,1.848440059
3.662404104,3.028363936,3.179309754,3.251153206,3.806557471,3.591071598,3.637612815,3.964189284
3.662404104,4.148749293,3.926545023,3.898351551,3.467982736,3.384550732,3.547934946,2.582044461
3.662404104,4.203370728,3.738051567,4.655911671,4.272086139,3.92310684,4.301802436,4.109130108
3.662404104,3.346678314,3.411601732,2.360526449,2.305254713,2.171267906,2.040663368,1.692429821
3.662404104,4.112841603,4.188774198,4.563174368,4.875246916,5.076814472,5.197417805,5.194997588
3.662404104,3.889199482,4.270079451,3.798561316,3.344702335,3.110322153,3.477903979,2.921437257
3.662404104,3.590958589,3.788675036,2.469188497,3.022906714,3.153085966,3.199638966,2.975258709
3.662404104,4.724889814,4.693956463,4.576112592,4.71205657,4.766189805,4.943531728,4.477862314
3.662404104,3.290287925,3.31750775,3.49257134,3.555096893,4.109983242,3.732195179,3.923263878
3.662404104,4.473820749,4.333733293,4.671974723,5.25587845,5.71176267,5.651457231,5.651320192
3.662404104,3.027325885,3.403158542,3.79263159,3.431572126,3.519186327,3.753727192,3.541705878
3.662404104,3.803196558,3.19044064,2.882636379,2.879796205,2.975493883,3.456249878,2.989982929
3.662404104,3.924703924,3.668952869,1.575187105,2.327872687,2.152303194,2.094032335,2.089170594
3.662404104,3.537291434,3.549585362,4.157191001,3.910335468,4.027761981,4.099829672,4.484433164
3.662404104,3.76780163,3.712342163,5.171931423,5.315238708,5.503369522,5.659731825,5.599061391
3.662404104,4.378318426,4.697918071,5.552804811,5.862204769,5.747464717,5.926147496,6.582743891
3.662404104,3.143692829,3.236618387,1.492385255,1.181387498,0.764589941,0.665206865,1.404136855
3.662404104,3.629676288,3.688581898,3.697951505,3.553320865,3.497745887,3.995094551,4.471788962
3.662404104,4.005424707,4.049604044,4.867420476,4.921865618,4.961317311,5.17297088,4.999672646
3.662404104,3.395207486,3.418248559,5.043401668,4.902356708,4.913256269,4.661548063,4.004393048
3.662404104,3.557208394,3.645535815,4.248954914,4.140398295,4.796493907,4.415748983,4.462030206
3.662404104,3.022277996,2.978940322,3.20065999,2.668879852,2.773753794,2.388014896,3.146211149
3.662404104,2.962489665,3.169230332,2.185779407,2.053220399,2.126778507,1.685880697,1.950139508
3.662404104,4.031437674,4.032394306,4.931413408,5.380808746,5.185618719,5.007012672,5.038943935
3.662404104,3.691640487,3.68770382,3.162355989,3.225122311,2.98788572,3.239971057,3.147148898
3.662404104,3.287149167,3.261095063,3.51053394,2.736895348,2.637520049,3.084032337,3.933995931
3.662404104,4.42469353,4.28942896,4.121126994,3.520921688,3.494781373,3.180806648,2.569653672
3.662404104,3.841661802,3.932599484,2.816898921,3.245958015,3.273286469,2.980382935,3.287265822
3.662404104,2.828678379,2.655027382,4.797386914,4.157923163,4.421725438,4.478434168,5.093047687
3.662404104,4.193531071,4.071851309,3.853248244,4.196627614,4.354708116,4.364902677,4.261454049
3.662404104,3.47813582,3.590834384,3.333107083,3.498858202,3.81347798,3.771049495,2.579000975
3.662404104,3.032135304,3.242404244,4.234467476,4.444731164,4.538975747,4.35216542,4.366485504
3.662404104,4.102346166,4.075063508,4.458485675,4.291927071,4.475667313,4.469872342,4.062642766
3.662404104,3.523969668,3.96987261,5.33688188,5.29836791,5.412408986,5.339988001,5.956999898
3.662404104,3.96194099,4.078323383,2.929971242,1.956877167,1.829415065,2.099000011,1.413173341
3.662404104,3.534179869,3.863037498,5.199961056,4.915480472,4.869243686,5.033310841,6.077422194
3.662404104,3.599432545,3.709270233,4.271534972,4.840430188,4.414102542,4.748745873,4.711869327
3.662404104,4.082769286,3.899291335,5.013216518,5.326683366,5.553903308,5.780409201,5.618563845
3.662404104,3.432677328,3.647573661,2.712941283,2.838397996,2.632907508,2.765483568,2.349333573
3.662404104,3.05056848,3.159323757,4.589637217,4.508601048,4.443865696,4.853116212,4.714997215
3.662404104,4.59859429,4.717019377,4.31627397,3.812707096,4.060752138,4.266838688,4.821058302
3.662404104,2.017434037,2.365778472,3.293689441,3.996843457,4.057031432,4.239687093,4.846005028
3.662404104,2.551694882,2.671548607,2.688118059,3.488600207,3.533659851,3.333161918,3.752794837
3.662404104,3.377825709,3.493337829,3.797853487,3.154693204,3.378118204,3.306346584,3.604529702
3.662404104,3.13379125,2.801350055,1.880729169,1.87738861,2.103699434,1.962467925,1.815080435
3.662404104,1.533981734,1.710652665,1.875384949,2.37504568,1.80199912,1.617574674,2.135172083
3.662404104,4.109358315,4.731135296,5.38067208,5.149138093,4.986101753,4.948470663,5.468669128
3.662404104,4.462017224,4.52512231,4.99462322,4.531251933,4.311210143,4.344355556,4.318780069
3.662404104,4.725826899,4.39833449,5.32922969,5.505284993,5.447814024,5.705121462,5.637832353
3.662404104,4.172956085,4.167967188,5.772951361,5.67386541,5.616368731,5.302323763,4.807009235
3.662404104,4.385043677,4.539483802,5.967908361,6.455296882,6.377841602,5.867794664,6.092134968
3.662404104,3.629669207,3.318148117,2.948917691,3.098726465,3.224331299,3.664548951,2.998090297
3.662404104,4.197748707,4.294804662,4.166640841,3.499494288,3.39790257,3.373755881,3.305475055
3.662404104,3.878204211,3.956962067,3.102123635,3.284208848,3.246245569,3.529099393,3.184637185
3.662404104,4.398176266,4.60323756,4.919371404,5.007721768,4.681279521,4.82016797,5.344628845
3.662404104,3.908066527,3.696446899,3.889793074,4.167757448,3.895737486,3.994571572,3.929327164
3.662404104,2.007313111,2.471520773,1.062532692,2.142195439,2.407998655,2.583958964,3.012926539
3.662404104,4.335673173,3.946779678,4.485897479,4.791888956,4.848256871,4.722296165,4.360578571
