spot1,spot2,spot3,spot4,spot5,spot6,spot7,spot8
3.490478542,3.534949802,3.714814473,2.848364737,1.792618089,1.92723323,1.867765913,2.232897663
3.490478542,3.841965959,3.615801783,2.974514726,4.222937762,4.128101385,4.17895955,4.12580464
3.490478542,3.547937881,3.640308889,3.889094281,3.764070654,3.628758521,3.496568832,3.397460688
3.490478542,4.728673419,4.556729093,3.853359647,3.159824416,3.484278177,3.465550216,2.89839103
3.490478542,3.713197665,3.657917766,3.554561281,3.58486023,3.738666245,3.809788344,4.570909744
3.490478542,4.446776111,4.470441597,4.28905012,3.864453201,3.575531106,3.827080295,4.35103372
3.490478542,3.930175495,4.114459172,2.812989772,2.504747896,2.714629336,2.752900005,3.049392182
3.490478542,1.654043231,1.904200778,1.345151001,1.021510603,0.903008657,1.0983486,1.503129678
3.490478542,2.981961341,3.10497747,2.52993633,0.855631745,1.374637006,1.419863351,2.479717998
3.490478542,3.722114121,3.788794245,3.569838369,4.204488562,4.669336347,4.362713895,3.496795807
3.490478542,3.698985526,3.717212302,1.826050257,2.374440769,2.258963311,2.654850305,2.517670012
3.490478542,2.223595369,2.137672994,2.164411985,2.743603391,2.87157101,2.654722679,2.602090688
3.490478542,3.516956576,3.316789517,2.160473226,2.341018327,2.069029274,2.699800505,3.398263877
3.490478542,2.217786332,2.252384407,2.207506743,2.707482286,3.336292052,3.241595929,3.295914572
3.490478542,2.85104002,3.18992158,3.522192429,3.367536215,3.773771169,3.640917293,3.651179641
3.490478542,3.21003553,3.56162998,4.237648007,4.349135807,4.588431869,3.831054109,4.770614236
3.490478542,3.883494072,3.88922793,3.328099137,2.449329969,2.881852264,3.329188975,4.044729012
3.490478542,3.941466526,3.848731495,3.802226397,4.14301441,4.429943062,4.495170346,4.687298853
3.490478542,4.387054527,4.087910369,3.533539455,3.819712542,3.95239296,4.068227559,3.711767165
3.490478542,4.844711665,4.466520079,4.263252199,3.807152194,3.90391279,3.915044257,3.16786903
3.490478542,3.619624582,3.72276583,3.71898071,3.526283579,3.757166467,3.739948267,3.404436175
3.490478542,3.18223909,3.185847449,1.048067425,0.483025259,0.619125067,1.108965625,1.234297592
3.490478542,3.12006917,3.654617583,3.294510189,2.815296379,3.214640431,3.167484159,3.98384817
3.490478542,3.17946988,3.043449807,3.317761709,3.057632927,3.383437558,3.561969208,4.387183969
3.490478542,4.014253596,4.141708994,5.435030568,5.101240212,5.268195157,5.389036237,6.186386353
3.490478542,3.80395895,3.964018606,5.45503291,4.30737393,4.416905249,4.605347893,3.179347716
3.490478542,3.99306315,3.750473975,2.760425184,2.073058691,2.28542616,2.026415071,2.201376171
3.490478542,4.748729862,4.952082148,4.525268804,4.763287949,4.787628999,4.709981423,5.045509646
3.490478542,3.623313669,3.594639459,2.87688613,2.768921066,3.036425503,3.157071245,3.571590302
3.490478542,3.563721357,3.730731644,4.208557161,3.098563406,3.161241746,3.075548371,2.991799413
3.490478542,3.622595428,3.809051218,3.01805454,3.420271738,3.657389597,4.096404681,3.706757433
3.490478542,2.687769641,2.93164838,3.359696959,3.387955137,3.576978617,4.007388277,4.425861017
3.490478542,4.004485724,4.100240427,3.625877353,2.886531785,2.770449361,3.335230395,3.392864317
3.490478542,3.566718741,3.481312785,4.400177249,4.260049627,4.145695551,4.438178715,4.399773492
3.490478542,3.825941989,3.93532181,3.470690082,3.73555058,3.434426919,3.853936827,3.525059373
3.490478542,3.298762441,3.421332394,2.427867857,2.100976924,2.604364988,2.705082594,2.917105169
3.490478542,2.354279272,2.493648082,4.280707809,4.248081891,4.524149895,4.433124635,4.12120846
3.490478542,3.232917958,3.282162667,4.528272196,4.557409947,5.053617911,5.464467143,5.243751725
3.490478542,5.023836615,4.631478092,4.430423647,4.525652185,4.459812843,4.555125969,5.320190369
3.490478542,1.493575691,1.655840803,2.341663763,2.214968133,2.856005838,2.500293916,2.480415364
