Date,May,Dec,Spot
1/27/20,5.7125,5.8475,4.35
1/28/20,5.685,5.8125,4.3
1/29/20,5.6125,5.75,4.2
1/30/20,5.585,5.72,4.19
1/31/20,5.525,5.68,4.13
2/3/20,5.5375,5.68,4.15
2/4/20,5.545,5.6925,4.15
2/5/20,5.59,5.7275,4.22
2/6/20,5.535,5.67,4.16
2/7/20,5.5675,5.71,4.21
2/10/20,5.515,5.6825,4.21
2/11/20,5.44,5.61,4.16
2/12/20,5.485,5.6475,4.26
2/13/20,5.4475,5.6,4.21
2/14/20,5.415,5.565,4.21
2/18/20,5.65,5.77,4.41
2/19/20,5.625,5.765,4.35
2/20/20,5.5925,5.7425,4.29
2/21/20,5.52,5.6775,4.24
2/24/20,5.3475,5.5425,4.09
2/25/20,5.37,5.53,4.12
2/26/20,5.3575,5.5175,4.09
2/27/20,5.275,5.4625,4.02
2/28/20,5.25,5.435,4.03
3/2/20,5.2325,5.4125,4.08
3/3/20,5.2725,5.445,4.08
3/4/20,5.1825,5.38,4.03
3/5/20,5.1875,5.3775,3.96
3/6/20,5.1575,5.3525,3.96
3/9/20,5.1875,5.37,3.91
3/10/20,5.2225,5.3825,3.95
3/11/20,5.1275,5.3175,3.86
3/12/20,5.055,5.2525,3.83
3/13/20,5.06,5.2375,3.82
3/16/20,4.98,5.1625,3.74
3/17/20,4.9925,5.16,3.82
3/18/20,5.0825,5.25,3.96
3/19/20,5.35,5.4425,4.16
3/20/20,5.3925,5.4675,4.14
3/24/20,5.615,5.625,4.46
3/25/20,5.8,5.7175,4.56
3/26/20,5.69,5.6125,4.42
3/27/20,5.7125,5.6325,4.42
3/30/20,5.694,5.666,4.42
3/31/20,5.686,5.726,4.48
4/2/20,5.416,5.51,4.19
4/3/20,5.492,5.542,4.27
4/6/20,5.556,5.6,4.31
4/7/20,5.492,5.582,4.28
4/8/20,5.482,5.6,4.33
4/9/20,5.564,5.676,4.47
4/13/20,5.55,5.664,4.49
4/14/20,5.486,5.624,4.39
4/15/20,5.402,5.544,4.34
4/16/20,5.296,5.444,4.25
4/17/20,5.334,5.47,4.34
4/20/20,5.486,5.59,4.5
4/21/20,5.466,5.556,4.52
4/22/20,5.43,5.536,4.45
4/23/20,5.47,5.524,4.41
4/24/20,5.266,5.402,4.3
4/27/20,5.21,5.356,4.25
4/28/20,5.266,5.376,4.39
4/29/20,5.194,5.304,4.32
4/30/20,5.296,5.362,4.43
