observation,potato_cpi
12/1/1991,100
1/1/1992,98.3
2/1/1992,93.9
3/1/1992,97
4/1/1992,122.9
5/1/1992,115.7
6/1/1992,132.2
7/1/1992,252.6
8/1/1992,216.3
9/1/1992,134.1
10/1/1992,124.5
11/1/1992,133.9
12/1/1992,127.1
1/1/1993,144.6
2/1/1993,141.8
3/1/1993,151.4
4/1/1993,166.8
5/1/1993,163.4
6/1/1993,170.1
7/1/1993,162.5
8/1/1993,158.9
9/1/1993,149.2
10/1/1993,158.9
11/1/1993,230.6
12/1/1993,201.5
1/1/1994,188
2/1/1994,176.3
3/1/1994,193.9
4/1/1994,185.8
5/1/1994,170.8
6/1/1994,179.4
7/1/1994,175.4
8/1/1994,170.2
9/1/1994,117
10/1/1994,115.6
11/1/1994,113.9
12/1/1994,107.9
1/1/1995,108.5
2/1/1995,111.5
3/1/1995,126.9
4/1/1995,118.5
5/1/1995,112.9
6/1/1995,215.5
7/1/1995,257.8
8/1/1995,191.5
9/1/1995,210.9
10/1/1995,184
11/1/1995,180.7
12/1/1995,177.7
1/1/1996,178.1
2/1/1996,184
3/1/1996,176.8
4/1/1996,176.9
5/1/1996,176.2
6/1/1996,205.5
7/1/1996,161.9
8/1/1996,147.7
9/1/1996,117.3
10/1/1996,96
11/1/1996,87.3
12/1/1996,81.7
1/1/1997,81.9
2/1/1997,79.7
3/1/1997,84.5
4/1/1997,76.6
5/1/1997,70.3
6/1/1997,88
7/1/1997,98.7
8/1/1997,186.5
9/1/1997,156.2
10/1/1997,133.7
11/1/1997,129.7
12/1/1997,128.7
1/1/1998,127.5
2/1/1998,123.3
3/1/1998,119.5
4/1/1998,117.9
5/1/1998,118.6
6/1/1998,127.9
7/1/1998,138.8
8/1/1998,127.3
9/1/1998,180.1
10/1/1998,133.6
11/1/1998,124.7
12/1/1998,124.5
1/1/1999,134.4
2/1/1999,126.6
3/1/1999,129.9
4/1/1999,124.7
5/1/1999,149.2
6/1/1999,197.2
7/1/1999,190.5
8/1/1999,154.7
9/1/1999,111.8
10/1/1999,98.8
11/1/1999,105.9
12/1/1999,100
1/1/2000,104.4
2/1/2000,102.9
3/1/2000,104.4
4/1/2000,102.1
5/1/2000,104
6/1/2000,103
7/1/2000,92.9
8/1/2000,105.5
9/1/2000,83.3
10/1/2000,77.9
11/1/2000,77.3
12/1/2000,74.5
1/1/2001,74
2/1/2001,67.4
3/1/2001,77.2
4/1/2001,77
5/1/2001,107.4
6/1/2001,152.4
7/1/2001,175.2
8/1/2001,204.6
9/1/2001,177.5
10/1/2001,156.3
11/1/2001,148.1
12/1/2001,155.3
1/1/2002,194.4
2/1/2002,193
3/1/2002,196.1
4/1/2002,202.1
5/1/2002,204.4
6/1/2002,254.6
7/1/2002,279.7
8/1/2002,169.2
9/1/2002,122.8
10/1/2002,96.5
11/1/2002,98.4
12/1/2002,95.1
1/1/2003,97.1
2/1/2003,91
3/1/2003,92.4
4/1/2003,87
5/1/2003,81.2
6/1/2003,77.6
7/1/2003,67.4
8/1/2003,88.1
9/1/2003,84.3
10/1/2003,83.3
11/1/2003,83.1
12/1/2003,80.1
1/1/2004,75.4
2/1/2004,74.5
3/1/2004,77
4/1/2004,83.8
5/1/2004,76.8
6/1/2004,77.6
7/1/2004,75.4
8/1/2004,92
9/1/2004,81.5
10/1/2004,76.8
11/1/2004,76.6
12/1/2004,72.7
1/1/2005,71.3
2/1/2005,75.1
3/1/2005,71.7
4/1/2005,72
5/1/2005,74.9
6/1/2005,86.6
7/1/2005,87.5
8/1/2005,113.7
9/1/2005,120.5
10/1/2005,124.6
11/1/2005,137.5
12/1/2005,144.2
1/1/2006,142
2/1/2006,121
3/1/2006,123.8
4/1/2006,124.1
5/1/2006,127.5
6/1/2006,126.5
7/1/2006,152.1
8/1/2006,158.8
9/1/2006,131.4
10/1/2006,119.6
11/1/2006,113.3
12/1/2006,112.1
1/1/2007,111.5
2/1/2007,114
3/1/2007,111.1
4/1/2007,117.3
5/1/2007,119
6/1/2007,121.4
7/1/2007,117.6
8/1/2007,117.1
9/1/2007,110.2
10/1/2007,104.6
11/1/2007,117.9
12/1/2007,124.7
1/1/2008,131.6
2/1/2008,134.9
3/1/2008,135
4/1/2008,139.7
5/1/2008,146.9
6/1/2008,237.8
7/1/2008,241.8
8/1/2008,274.7
9/1/2008,260.3
10/1/2008,212.9
11/1/2008,195.1
12/1/2008,186.5
1/1/2009,177.4
2/1/2009,171.3
3/1/2009,156.8
4/1/2009,141.8
5/1/2009,134.3
6/1/2009,133.3
7/1/2009,131.2
8/1/2009,138.3
9/1/2009,110.2
10/1/2009,101.1
11/1/2009,96.3
12/1/2009,94.4
1/1/2010,91.6
2/1/2010,87.9
3/1/2010,85.4
4/1/2010,87.3
5/1/2010,96.6
6/1/2010,105.1
7/1/2010,121.5
8/1/2010,155.9
9/1/2010,150.6
10/1/2010,137.9
11/1/2010,140.7
12/1/2010,152.6
1/1/2011,156.1
2/1/2011,189.6
3/1/2011,200.3
4/1/2011,204.9
5/1/2011,198.2
6/1/2011,198.2
7/1/2011,251.5
8/1/2011,223.7
9/1/2011,190.2
10/1/2011,135.6
11/1/2011,145.1
12/1/2011,150.2
1/1/2012,149.6
2/1/2012,149.8
3/1/2012,169.8
4/1/2012,176.8
5/1/2012,166.4
6/1/2012,146.7
7/1/2012,133.8
8/1/2012,147.5
9/1/2012,101.2
10/1/2012,91.5
11/1/2012,99.1
12/1/2012,95.8
1/1/2013,95.1
2/1/2013,100.4
3/1/2013,97.8
4/1/2013,100.7
5/1/2013,113.2
6/1/2013,146.1
7/1/2013,201.4
8/1/2013,257.6
9/1/2013,195.9
10/1/2013,152.6
11/1/2013,154.7
12/1/2013,153.2
1/1/2014,151.6
2/1/2014,150.8
3/1/2014,149.7
4/1/2014,150.9
5/1/2014,154.1
6/1/2014,168.3
7/1/2014,114.7
8/1/2014,145.6
