month,yr 2015,yr 2016,yr 2017,yr 2018,average,stdev
Jan,674.1,485.8,500.3,479.9,535,93.1
Feb,603.9,527.5,470.2,464.7,516.6,64.8
Mar,589.1,728.2,425.6,677.3,605.1,132.7
Apr,446.1,927.3,428.5,829,657.7,257.8
May,470.9,1212.7,410.6,1036.4,782.7,402.1
Jun,743.2,1425.1,548.5,1116.1,958.2,390.3
Jul,989.5,1465.7,671.9,1113.6,1060.2,328.2
Aug,852,1445.9,585.3,1292.9,1044,396.1
Sep,907.5,1322.8,636.4,1354.2,1055.2,345.6
Oct,1204.6,1169.4,651.9,1423.2,1112.3,326.8
Nov,942.6,837.1,703.6,1243.8,931.8,229.9
Dec,613.9,503.5,626,592.9,584.1,55.4
