trade_day,sandp,corn
2-Jan-15,2058.2,395.75
5-Jan-15,2020.6,406
6-Jan-15,2002.6,405
7-Jan-15,2025.9,396.25
8-Jan-15,2062.1,394.25
9-Jan-15,2044.8,400.25
12-Jan-15,2028.3,402
13-Jan-15,2023,385.75
14-Jan-15,2011.3,381
15-Jan-15,1992.7,380
16-Jan-15,2019.4,387
20-Jan-15,2022.6,390.25
21-Jan-15,2032.1,388
22-Jan-15,2063.2,383.75
23-Jan-15,2051.8,386.75
26-Jan-15,2057.1,384
27-Jan-15,2029.6,381.25
28-Jan-15,2002.2,373.25
29-Jan-15,2021.3,371.5
30-Jan-15,1995,370
2-Feb-15,2020.9,369.75
3-Feb-15,2050,385.75
4-Feb-15,2041.5,383.5
5-Feb-15,2062.5,385.25
6-Feb-15,2055.5,385.75
9-Feb-15,2046.7,391.25
10-Feb-15,2068.6,388
11-Feb-15,2068.5,385.75
12-Feb-15,2088.5,383
13-Feb-15,2097,387.25
17-Feb-15,2100.3,389.5
18-Feb-15,2099.7,383.75
19-Feb-15,2097.5,389.75
20-Feb-15,2110.3,385.25
23-Feb-15,2109.7,378.75
24-Feb-15,2115.5,377.5
25-Feb-15,2113.9,375.75
26-Feb-15,2110.7,380
27-Feb-15,2104.5,384.5
2-Mar-15,2117.4,378.75
3-Mar-15,2107.8,382
4-Mar-15,2098.5,381.5
5-Mar-15,2101,382.75
6-Mar-15,2071.3,379.25
9-Mar-15,2079.4,383.25
10-Mar-15,2044.2,382.25
11-Mar-15,2040.2,384
12-Mar-15,2066,382.25
13-Mar-15,2053.4,374
16-Mar-15,2081.2,379
17-Mar-15,2074.3,371
18-Mar-15,2099.5,374.75
19-Mar-15,2089.3,373.5
20-Mar-15,2108.1,385
23-Mar-15,2104.4,390.25
24-Mar-15,2091.5,393.25
25-Mar-15,2061.1,395
26-Mar-15,2056.2,391.25
27-Mar-15,2061,391
30-Mar-15,2086.2,394.5
31-Mar-15,2067.9,376.25
1-Apr-15,2059.7,381.75
2-Apr-15,2067,386.5
6-Apr-15,2080.6,385
7-Apr-15,2076.3,383
8-Apr-15,2081.9,379.25
9-Apr-15,2091.2,378
10-Apr-15,2102.1,377
13-Apr-15,2092.4,370.5
14-Apr-15,2095.8,373.5
15-Apr-15,2106.6,376
16-Apr-15,2105,376.25
17-Apr-15,2081.2,379.75
20-Apr-15,2100.4,378
21-Apr-15,2097.3,373
22-Apr-15,2108,372.5
23-Apr-15,2112.9,370.75
24-Apr-15,2117.7,364.5
27-Apr-15,2108.9,360.75
28-Apr-15,2114.8,361
29-Apr-15,2106.9,363.75
30-Apr-15,2085.5,362.5
1-May-15,2108.3,359.75
4-May-15,2114.5,358.75
5-May-15,2089.5,361.25
6-May-15,2080.2,366.5
7-May-15,2088,357.75
8-May-15,2116.1,358.5
11-May-15,2105.3,358.25
12-May-15,2099.1,357
13-May-15,2098.5,356
14-May-15,2121.1,361
15-May-15,2122.7,365.5
18-May-15,2129.2,368
19-May-15,2127.8,362
20-May-15,2125.9,360
21-May-15,2130.8,365
22-May-15,2126.1,360
26-May-15,2104.2,355
27-May-15,2123.5,349.5
28-May-15,2120.8,353.5
29-May-15,2107.4,351.5
1-Jun-15,2111.7,352.25
2-Jun-15,2109.6,359
3-Jun-15,2114.1,359
4-Jun-15,2095.8,363.5
5-Jun-15,2092.8,360.5
8-Jun-15,2079.3,365.25
9-Jun-15,2080.2,365
10-Jun-15,2105.2,357.25
11-Jun-15,2108.9,356.5
12-Jun-15,2094.1,353
15-Jun-15,2084.4,348.25
16-Jun-15,2096.3,354
17-Jun-15,2100.4,359.25
18-Jun-15,2121.2,358
19-Jun-15,2110,353.25
22-Jun-15,2122.9,360
23-Jun-15,2124.2,367.5
24-Jun-15,2108.6,366.5
25-Jun-15,2102.3,376.5
26-Jun-15,2101.5,385
29-Jun-15,2057.6,383.25
30-Jun-15,2063.1,414
1-Jul-15,2077.4,413.75
2-Jul-15,2076.8,419.75
6-Jul-15,2068.8,418.5
7-Jul-15,2081.3,415.75
8-Jul-15,2046.7,416.25
9-Jul-15,2051.3,421.25
10-Jul-15,2076.6,427.25
13-Jul-15,2099.6,433.5
14-Jul-15,2109,424
15-Jul-15,2107.4,429.5
16-Jul-15,2124.3,430
17-Jul-15,2126.6,420.25
20-Jul-15,2128.3,405
21-Jul-15,2119.2,406.5
22-Jul-15,2114.2,402.75
23-Jul-15,2102.2,403.25
24-Jul-15,2079.7,392.5
27-Jul-15,2067.6,373
28-Jul-15,2093.3,375
29-Jul-15,2108.6,367.75
30-Jul-15,2108.6,373.25
31-Jul-15,2103.8,371
3-Aug-15,2098,366.5
4-Aug-15,2093.3,368.75
5-Aug-15,2099.8,372.75
6-Aug-15,2083.6,369.75
7-Aug-15,2077.6,372.75
10-Aug-15,2104.2,390.25
11-Aug-15,2084.1,376.5
12-Aug-15,2086.1,357.25
13-Aug-15,2083.4,363.75
14-Aug-15,2091.5,364
17-Aug-15,2102.4,363.25
18-Aug-15,2096.9,366.25
19-Aug-15,2079.6,367.25
20-Aug-15,2035.7,371
21-Aug-15,1970.9,365.25
24-Aug-15,1893.2,368.75
25-Aug-15,1867.6,365.5
26-Aug-15,1940.5,361.75
27-Aug-15,1987.7,363.75
28-Aug-15,1988.9,363.25
31-Aug-15,1972.2,363.75
1-Sep-15,1913.9,356
2-Sep-15,1948.9,354
3-Sep-15,1951.1,347.75
4-Sep-15,1921.2,349.5
8-Sep-15,1969.4,355
9-Sep-15,1942,356.5
10-Sep-15,1952.3,361.75
11-Sep-15,1961.1,374.5
14-Sep-15,1953,379
15-Sep-15,1978.1,390.5
16-Sep-15,1995.3,386
17-Sep-15,1990.2,379.75
18-Sep-15,1958,377.25
21-Sep-15,1967,384.5
22-Sep-15,1942.7,380.5
23-Sep-15,1938.8,383.25
24-Sep-15,1932.2,381.5
25-Sep-15,1931.3,389
28-Sep-15,1881.8,386.75
29-Sep-15,1884.1,389
30-Sep-15,1920,387.75
1-Oct-15,1923.8,388.75
2-Oct-15,1951.4,389.25
5-Oct-15,1987.1,393.5
6-Oct-15,1979.9,398.25
7-Oct-15,1995.8,395.75
8-Oct-15,2013.4,391.25
9-Oct-15,2014.9,382.75
12-Oct-15,2017.5,380.75
13-Oct-15,2003.7,384.5
14-Oct-15,1994.2,379
15-Oct-15,2023.9,375.5
16-Oct-15,2033.1,376.75
19-Oct-15,2033.7,373
20-Oct-15,2030.8,376.75
21-Oct-15,2018.9,380.75
22-Oct-15,2052.5,378.25
23-Oct-15,2075.2,379.75
26-Oct-15,2071.2,384.5
27-Oct-15,2065.9,380
28-Oct-15,2090.4,376
29-Oct-15,2089.4,380
30-Oct-15,2079.4,382.25
2-Nov-15,2104.1,376.5
3-Nov-15,2109.8,380.5
4-Nov-15,2102.3,380.5
5-Nov-15,2099.9,374.5
6-Nov-15,2099.2,373
9-Nov-15,2078.6,366.75
10-Nov-15,2081.7,359
11-Nov-15,2075,362.25
12-Nov-15,2046,362
13-Nov-15,2023,358.25
16-Nov-15,2053.2,360
17-Nov-15,2050.4,362
18-Nov-15,2083.6,361.75
19-Nov-15,2081.2,364.25
20-Nov-15,2089.2,363.25
23-Nov-15,2086.6,367.25
24-Nov-15,2089.1,364.25
25-Nov-15,2088.9,366
27-Nov-15,2090.1,359.25
30-Nov-15,2080.4,365
1-Dec-15,2102.6,367
2-Dec-15,2079.5,364
3-Dec-15,2049.6,370.25
4-Dec-15,2091.7,376.25
7-Dec-15,2077.1,368.5
8-Dec-15,2063.6,370
9-Dec-15,2047.6,371.75
10-Dec-15,2052.2,377.25
11-Dec-15,2012.4,373
14-Dec-15,2021.9,381.75
15-Dec-15,2043.4,377.25
16-Dec-15,2073.1,369.75
17-Dec-15,2041.9,374.25
18-Dec-15,2005.6,374.5
21-Dec-15,2021.2,372
22-Dec-15,2039,366.25
23-Dec-15,2064.3,365.5
24-Dec-15,2061,364.5
28-Dec-15,2056.5,361
29-Dec-15,2078.4,362.5
30-Dec-15,2063.4,359
31-Dec-15,2043.9,358.75
4-Jan-16,2012.7,351.5
5-Jan-16,2016.7,353
6-Jan-16,1990.3,353.25
7-Jan-16,1943.1,353
8-Jan-16,1922,357
11-Jan-16,1923.7,351.75
12-Jan-16,1938.7,356.75
13-Jan-16,1890.3,358
14-Jan-16,1921.8,358
15-Jan-16,1880.3,363.25
19-Jan-16,1881.3,367.75
20-Jan-16,1859.3,368.75
21-Jan-16,1869,367
22-Jan-16,1906.9,370.25
25-Jan-16,1877.1,369.75
26-Jan-16,1903.6,369.25
27-Jan-16,1883,369.25
28-Jan-16,1893.4,365.5
29-Jan-16,1940.2,372
1-Feb-16,1939.4,371.25
2-Feb-16,1903,372.5
3-Feb-16,1912.5,371
4-Feb-16,1915.5,368.5
5-Feb-16,1880.1,365.75
8-Feb-16,1853.4,362.25
9-Feb-16,1852.2,361
10-Feb-16,1851.9,360.25
11-Feb-16,1829.1,360.25
12-Feb-16,1864.8,358.75
16-Feb-16,1895.6,363
17-Feb-16,1926.8,367.25
18-Feb-16,1917.8,365.5
19-Feb-16,1917.8,365.5
22-Feb-16,1945.5,367.5
23-Feb-16,1921.3,362
24-Feb-16,1929.8,359.75
25-Feb-16,1951.7,355.5
26-Feb-16,1948.1,354.5
29-Feb-16,1932.2,353.5
1-Mar-16,1978.4,353.75
2-Mar-16,1986.5,354.5
3-Mar-16,1993.4,353.75
4-Mar-16,2000,354.5
7-Mar-16,2001.8,355
8-Mar-16,1979.3,358.75
9-Mar-16,1989.3,359
10-Mar-16,1989.6,362.5
11-Mar-16,2022.2,366
14-Mar-16,2019.6,366.75
15-Mar-16,2015.9,368.5
16-Mar-16,2027.2,368.25
17-Mar-16,2040.6,368.5
18-Mar-16,2049.6,367
21-Mar-16,2051.6,369.5
22-Mar-16,2049.8,370
23-Mar-16,2036.7,368.5
24-Mar-16,2035.9,370
28-Mar-16,2037.1,370.5
29-Mar-16,2055,373
30-Mar-16,2064,367
31-Mar-16,2059.7,351.5
1-Apr-16,2072.8,354
4-Apr-16,2066.1,354.5
5-Apr-16,2045.2,356.75
6-Apr-16,2066.7,358
7-Apr-16,2041.9,361.5
8-Apr-16,2047.6,362.25
11-Apr-16,2042,356.75
12-Apr-16,2061.7,362.75
13-Apr-16,2082.4,373.5
14-Apr-16,2082.8,374
15-Apr-16,2080.7,378.5
18-Apr-16,2094.3,381
19-Apr-16,2100.8,384.5
20-Apr-16,2102.4,394.75
21-Apr-16,2091.5,384.5
22-Apr-16,2091.6,371.75
25-Apr-16,2087.8,377
26-Apr-16,2091.7,382.25
27-Apr-16,2095.2,380.75
28-Apr-16,2075.8,387
29-Apr-16,2065.3,390.25
2-May-16,2081.4,390.25
3-May-16,2063.4,378.25
4-May-16,2051.1,373.25
5-May-16,2050.6,371.75
6-May-16,2057.1,376
9-May-16,2058.7,367.75
10-May-16,2084.4,378.5
11-May-16,2064.5,374
12-May-16,2064.1,385.25
13-May-16,2046.6,382
16-May-16,2066.7,394
17-May-16,2047.2,397
18-May-16,2047.6,399.5
19-May-16,2040,390
20-May-16,2052.3,394.5
23-May-16,2048,397.75
24-May-16,2076.1,397.5
25-May-16,2090.5,404.75
26-May-16,2090.1,408.25
27-May-16,2099.1,412.75
31-May-16,2097,404.75
1-Jun-16,2099.3,413.75
2-Jun-16,2105.3,415.25
3-Jun-16,2099.1,418.25
6-Jun-16,2109.4,427.25
7-Jun-16,2112.1,427.75
8-Jun-16,2119.1,431.25
9-Jun-16,2115.5,426.5
10-Jun-16,2096.1,423
13-Jun-16,2079.1,430
14-Jun-16,2075.3,436.5
15-Jun-16,2071.5,429
16-Jun-16,2078,425.25
17-Jun-16,2071.2,437.75
20-Jun-16,2083.3,421.25
21-Jun-16,2088.9,396.25
22-Jun-16,2085.5,393
23-Jun-16,2113.3,387.25
24-Jun-16,2037.4,384.5
27-Jun-16,2000.5,385.25
28-Jun-16,2036.1,385.25
29-Jun-16,2070.8,372.75
30-Jun-16,2098.9,358.75
1-Jul-16,2103,353
5-Jul-16,2088.6,344
6-Jul-16,2099.7,335.75
7-Jul-16,2097.9,335.5
8-Jul-16,2129.9,349.75
11-Jul-16,2137.2,343.75
12-Jul-16,2152.1,349.75
13-Jul-16,2152.4,365.75
14-Jul-16,2163.8,362.25
15-Jul-16,2161.7,352.25
18-Jul-16,2166.9,357
19-Jul-16,2163.8,341.75
20-Jul-16,2173,337.5
21-Jul-16,2165.2,334.25
22-Jul-16,2175,335
25-Jul-16,2168.5,334.75
26-Jul-16,2169.2,332.5
27-Jul-16,2166.6,335.75
28-Jul-16,2170.1,331.25
29-Jul-16,2173.6,334.5
1-Aug-16,2170.8,325.75
2-Aug-16,2157,324.25
3-Aug-16,2163.8,325
4-Aug-16,2164.3,320.75
5-Aug-16,2182.9,324.25
8-Aug-16,2180.9,325.25
9-Aug-16,2181.7,322.25
10-Aug-16,2175.5,322.5
11-Aug-16,2185.8,321
12-Aug-16,2184.1,322.25
15-Aug-16,2190.2,326.5
16-Aug-16,2178.2,327.5
17-Aug-16,2182.2,330.25
18-Aug-16,2187,332
19-Aug-16,2183.9,334.25
22-Aug-16,2182.6,333.25
23-Aug-16,2186.9,328.5
24-Aug-16,2175.4,327.5
25-Aug-16,2172.5,323.5
26-Aug-16,2169,316.25
29-Aug-16,2180.4,311.75
30-Aug-16,2176.1,304
31-Aug-16,2171,301.5
1-Sep-16,2170.9,311
2-Sep-16,2180,316.5
6-Sep-16,2186.5,316.75
7-Sep-16,2186.2,321
8-Sep-16,2181.3,327
9-Sep-16,2127.8,330
12-Sep-16,2159,329.25
13-Sep-16,2127,319.25
14-Sep-16,2125.8,322.25
15-Sep-16,2147.3,330
16-Sep-16,2139.2,337
19-Sep-16,2139.1,337.25
20-Sep-16,2139.8,340.5
21-Sep-16,2163.1,340
22-Sep-16,2177.2,336.75
23-Sep-16,2164.7,336.5
26-Sep-16,2146.1,329
27-Sep-16,2159.9,331.75
28-Sep-16,2171.4,329.25
29-Sep-16,2151.1,329.25
30-Sep-16,2168.3,336.75
3-Oct-16,2161.2,346
4-Oct-16,2150.5,348.25
5-Oct-16,2159.7,347.75
6-Oct-16,2160.8,340.5
7-Oct-16,2153.7,339.75
10-Oct-16,2163.7,343.25
11-Oct-16,2136.7,345.5
12-Oct-16,2139.2,337
13-Oct-16,2132.6,349.5
14-Oct-16,2133,354.25
17-Oct-16,2126.5,354
18-Oct-16,2139.6,353.75
19-Oct-16,2144.3,357.5
20-Oct-16,2141.3,351
21-Oct-16,2141.2,352.5
24-Oct-16,2151.3,348.25
25-Oct-16,2143.2,349.25
26-Oct-16,2139.4,354
27-Oct-16,2133,357.5
28-Oct-16,2126.4,355
31-Oct-16,2126.2,354.75
1-Nov-16,2111.7,349
2-Nov-16,2097.9,346.25
3-Nov-16,2088.7,348
4-Nov-16,2085.2,348.75
7-Nov-16,2131.5,346.25
8-Nov-16,2139.6,354.25
9-Nov-16,2163.3,340.75
10-Nov-16,2167.5,343.5
11-Nov-16,2164.5,340.25
14-Nov-16,2164.2,337.25
15-Nov-16,2180.4,341.5
16-Nov-16,2176.9,338.5
17-Nov-16,2187.1,342
18-Nov-16,2181.9,345.5
21-Nov-16,2198.2,349.75
22-Nov-16,2202.9,351
23-Nov-16,2204.7,350.75
25-Nov-16,2213.4,349.25
28-Nov-16,2201.7,348.5
29-Nov-16,2204.7,336.75
30-Nov-16,2198.8,336.75
1-Dec-16,2191.1,331.75
2-Dec-16,2192,337.5
5-Dec-16,2204.7,349.5
6-Dec-16,2212.2,351
7-Dec-16,2241.4,350.5
8-Dec-16,2246.2,346.5
9-Dec-16,2259.5,352.5
12-Dec-16,2257,354.5
13-Dec-16,2271.7,356.25
14-Dec-16,2253.3,351.75
15-Dec-16,2262,356.5
16-Dec-16,2258.1,356.25
19-Dec-16,2262.5,353.25
20-Dec-16,2270.8,350.25
21-Dec-16,2265.2,347.25
22-Dec-16,2261,347.25
23-Dec-16,2263.8,345.75
27-Dec-16,2268.9,355
28-Dec-16,2249.9,348.25
29-Dec-16,2249.3,349.75
30-Dec-16,2238.8,352
3-Jan-17,2257.8,355.75
4-Jan-17,2270.8,359.75
5-Jan-17,2269,361.25
6-Jan-17,2277,358
9-Jan-17,2268.9,360
10-Jan-17,2268.9,358.25
11-Jan-17,2275.3,357.25
12-Jan-17,2270.4,358.25
13-Jan-17,2274.6,358.5
17-Jan-17,2267.9,365.5
18-Jan-17,2271.9,365
19-Jan-17,2263.7,366.25
20-Jan-17,2271.3,369.75
23-Jan-17,2265.2,369.5
24-Jan-17,2280.1,363.25
25-Jan-17,2298.4,366.25
26-Jan-17,2296.7,363.75
27-Jan-17,2294.7,362.5
30-Jan-17,2280.9,357.75
31-Jan-17,2278.9,359.75
1-Feb-17,2279.6,368.25
2-Feb-17,2280.9,367.5
3-Feb-17,2297.4,365.25
6-Feb-17,2292.6,363.75
7-Feb-17,2293.1,368.5
8-Feb-17,2294.7,370.75
9-Feb-17,2307.9,369.5
10-Feb-17,2316.1,374.5
13-Feb-17,2328.3,375.5
14-Feb-17,2337.6,374.25
15-Feb-17,2349.3,378.75
16-Feb-17,2347.2,373.5
17-Feb-17,2351.2,368.25
21-Feb-17,2365.4,369.25
22-Feb-17,2362.8,371
23-Feb-17,2363.8,365.5
24-Feb-17,2367.3,364
27-Feb-17,2369.8,360.25
28-Feb-17,2363.6,366.75
1-Mar-17,2396,375.75
2-Mar-17,2381.9,372.75
3-Mar-17,2383.1,374.75
6-Mar-17,2375.3,372.75
7-Mar-17,2368.4,369.5
8-Mar-17,2363,365.25
9-Mar-17,2364.9,359.75
10-Mar-17,2372.6,358
13-Mar-17,2373.5,354.5
14-Mar-17,2365.5,353.75
15-Mar-17,2385.3,363.5
16-Mar-17,2381.4,366
17-Mar-17,2378.3,367.5
20-Mar-17,2373.5,363.5
21-Mar-17,2344,361.25
22-Mar-17,2348.5,358.75
23-Mar-17,2346,356.75
24-Mar-17,2344,356.25
27-Mar-17,2341.6,355.75
28-Mar-17,2358.6,357.75
29-Mar-17,2361.1,358.5
