trade_day,month,serial,sandp,corn
2-Jan-15,1/1/2015,42005,2058.2,395.75
5-Jan-15,1/1/2015,42005,2020.6,406
6-Jan-15,1/1/2015,42005,2002.6,405
7-Jan-15,1/1/2015,42005,2025.9,396.25
8-Jan-15,1/1/2015,42005,2062.1,394.25
9-Jan-15,1/1/2015,42005,2044.8,400.25
12-Jan-15,1/1/2015,42005,2028.3,402
13-Jan-15,1/1/2015,42005,2023,385.75
14-Jan-15,1/1/2015,42005,2011.3,381
15-Jan-15,1/1/2015,42005,1992.7,380
16-Jan-15,1/1/2015,42005,2019.4,387
20-Jan-15,1/1/2015,42005,2022.6,390.25
21-Jan-15,1/1/2015,42005,2032.1,388
22-Jan-15,1/1/2015,42005,2063.2,383.75
23-Jan-15,1/1/2015,42005,2051.8,386.75
26-Jan-15,1/1/2015,42005,2057.1,384
27-Jan-15,1/1/2015,42005,2029.6,381.25
28-Jan-15,1/1/2015,42005,2002.2,373.25
29-Jan-15,1/1/2015,42005,2021.3,371.5
30-Jan-15,1/1/2015,42005,1995,370
2-Feb-15,2/1/2015,42036,2020.9,369.75
3-Feb-15,2/1/2015,42036,2050,385.75
4-Feb-15,2/1/2015,42036,2041.5,383.5
5-Feb-15,2/1/2015,42036,2062.5,385.25
6-Feb-15,2/1/2015,42036,2055.5,385.75
9-Feb-15,2/1/2015,42036,2046.7,391.25
10-Feb-15,2/1/2015,42036,2068.6,388
11-Feb-15,2/1/2015,42036,2068.5,385.75
12-Feb-15,2/1/2015,42036,2088.5,383
13-Feb-15,2/1/2015,42036,2097,387.25
17-Feb-15,2/1/2015,42036,2100.3,389.5
18-Feb-15,2/1/2015,42036,2099.7,383.75
19-Feb-15,2/1/2015,42036,2097.5,389.75
20-Feb-15,2/1/2015,42036,2110.3,385.25
23-Feb-15,2/1/2015,42036,2109.7,378.75
24-Feb-15,2/1/2015,42036,2115.5,377.5
25-Feb-15,2/1/2015,42036,2113.9,375.75
26-Feb-15,2/1/2015,42036,2110.7,380
27-Feb-15,2/1/2015,42036,2104.5,384.5
2-Mar-15,3/1/2015,42064,2117.4,378.75
3-Mar-15,3/1/2015,42064,2107.8,382
4-Mar-15,3/1/2015,42064,2098.5,381.5
5-Mar-15,3/1/2015,42064,2101,382.75
6-Mar-15,3/1/2015,42064,2071.3,379.25
9-Mar-15,3/1/2015,42064,2079.4,383.25
10-Mar-15,3/1/2015,42064,2044.2,382.25
11-Mar-15,3/1/2015,42064,2040.2,384
12-Mar-15,3/1/2015,42064,2066,382.25
13-Mar-15,3/1/2015,42064,2053.4,374
16-Mar-15,3/1/2015,42064,2081.2,379
17-Mar-15,3/1/2015,42064,2074.3,371
18-Mar-15,3/1/2015,42064,2099.5,374.75
19-Mar-15,3/1/2015,42064,2089.3,373.5
20-Mar-15,3/1/2015,42064,2108.1,385
23-Mar-15,3/1/2015,42064,2104.4,390.25
24-Mar-15,3/1/2015,42064,2091.5,393.25
25-Mar-15,3/1/2015,42064,2061.1,395
26-Mar-15,3/1/2015,42064,2056.2,391.25
27-Mar-15,3/1/2015,42064,2061,391
30-Mar-15,3/1/2015,42064,2086.2,394.5
31-Mar-15,3/1/2015,42064,2067.9,376.25
1-Apr-15,4/1/2015,42095,2059.7,381.75
2-Apr-15,4/1/2015,42095,2067,386.5
6-Apr-15,4/1/2015,42095,2080.6,385
7-Apr-15,4/1/2015,42095,2076.3,383
8-Apr-15,4/1/2015,42095,2081.9,379.25
9-Apr-15,4/1/2015,42095,2091.2,378
10-Apr-15,4/1/2015,42095,2102.1,377
13-Apr-15,4/1/2015,42095,2092.4,370.5
14-Apr-15,4/1/2015,42095,2095.8,373.5
15-Apr-15,4/1/2015,42095,2106.6,376
16-Apr-15,4/1/2015,42095,2105,376.25
17-Apr-15,4/1/2015,42095,2081.2,379.75
20-Apr-15,4/1/2015,42095,2100.4,378
21-Apr-15,4/1/2015,42095,2097.3,373
22-Apr-15,4/1/2015,42095,2108,372.5
23-Apr-15,4/1/2015,42095,2112.9,370.75
24-Apr-15,4/1/2015,42095,2117.7,364.5
27-Apr-15,4/1/2015,42095,2108.9,360.75
28-Apr-15,4/1/2015,42095,2114.8,361
29-Apr-15,4/1/2015,42095,2106.9,363.75
30-Apr-15,4/1/2015,42095,2085.5,362.5
1-May-15,5/1/2015,42125,2108.3,359.75
4-May-15,5/1/2015,42125,2114.5,358.75
5-May-15,5/1/2015,42125,2089.5,361.25
6-May-15,5/1/2015,42125,2080.2,366.5
7-May-15,5/1/2015,42125,2088,357.75
8-May-15,5/1/2015,42125,2116.1,358.5
11-May-15,5/1/2015,42125,2105.3,358.25
12-May-15,5/1/2015,42125,2099.1,357
13-May-15,5/1/2015,42125,2098.5,356
14-May-15,5/1/2015,42125,2121.1,361
15-May-15,5/1/2015,42125,2122.7,365.5
18-May-15,5/1/2015,42125,2129.2,368
19-May-15,5/1/2015,42125,2127.8,362
20-May-15,5/1/2015,42125,2125.9,360
21-May-15,5/1/2015,42125,2130.8,365
22-May-15,5/1/2015,42125,2126.1,360
26-May-15,5/1/2015,42125,2104.2,355
27-May-15,5/1/2015,42125,2123.5,349.5
28-May-15,5/1/2015,42125,2120.8,353.5
29-May-15,5/1/2015,42125,2107.4,351.5
1-Jun-15,6/1/2015,42156,2111.7,352.25
2-Jun-15,6/1/2015,42156,2109.6,359
3-Jun-15,6/1/2015,42156,2114.1,359
4-Jun-15,6/1/2015,42156,2095.8,363.5
5-Jun-15,6/1/2015,42156,2092.8,360.5
8-Jun-15,6/1/2015,42156,2079.3,365.25
9-Jun-15,6/1/2015,42156,2080.2,365
10-Jun-15,6/1/2015,42156,2105.2,357.25
11-Jun-15,6/1/2015,42156,2108.9,356.5
12-Jun-15,6/1/2015,42156,2094.1,353
15-Jun-15,6/1/2015,42156,2084.4,348.25
16-Jun-15,6/1/2015,42156,2096.3,354
17-Jun-15,6/1/2015,42156,2100.4,359.25
18-Jun-15,6/1/2015,42156,2121.2,358
19-Jun-15,6/1/2015,42156,2110,353.25
22-Jun-15,6/1/2015,42156,2122.9,360
23-Jun-15,6/1/2015,42156,2124.2,367.5
24-Jun-15,6/1/2015,42156,2108.6,366.5
25-Jun-15,6/1/2015,42156,2102.3,376.5
26-Jun-15,6/1/2015,42156,2101.5,385
29-Jun-15,6/1/2015,42156,2057.6,383.25
30-Jun-15,6/1/2015,42156,2063.1,414
1-Jul-15,7/1/2015,42186,2077.4,413.75
2-Jul-15,7/1/2015,42186,2076.8,419.75
6-Jul-15,7/1/2015,42186,2068.8,418.5
7-Jul-15,7/1/2015,42186,2081.3,415.75
8-Jul-15,7/1/2015,42186,2046.7,416.25
9-Jul-15,7/1/2015,42186,2051.3,421.25
10-Jul-15,7/1/2015,42186,2076.6,427.25
13-Jul-15,7/1/2015,42186,2099.6,433.5
14-Jul-15,7/1/2015,42186,2109,424
15-Jul-15,7/1/2015,42186,2107.4,429.5
16-Jul-15,7/1/2015,42186,2124.3,430
17-Jul-15,7/1/2015,42186,2126.6,420.25
20-Jul-15,7/1/2015,42186,2128.3,405
21-Jul-15,7/1/2015,42186,2119.2,406.5
22-Jul-15,7/1/2015,42186,2114.2,402.75
23-Jul-15,7/1/2015,42186,2102.2,403.25
24-Jul-15,7/1/2015,42186,2079.7,392.5
27-Jul-15,7/1/2015,42186,2067.6,373
28-Jul-15,7/1/2015,42186,2093.3,375
29-Jul-15,7/1/2015,42186,2108.6,367.75
30-Jul-15,7/1/2015,42186,2108.6,373.25
31-Jul-15,7/1/2015,42186,2103.8,371
3-Aug-15,8/1/2015,42217,2098,366.5
4-Aug-15,8/1/2015,42217,2093.3,368.75
5-Aug-15,8/1/2015,42217,2099.8,372.75
6-Aug-15,8/1/2015,42217,2083.6,369.75
7-Aug-15,8/1/2015,42217,2077.6,372.75
10-Aug-15,8/1/2015,42217,2104.2,390.25
11-Aug-15,8/1/2015,42217,2084.1,376.5
12-Aug-15,8/1/2015,42217,2086.1,357.25
13-Aug-15,8/1/2015,42217,2083.4,363.75
14-Aug-15,8/1/2015,42217,2091.5,364
17-Aug-15,8/1/2015,42217,2102.4,363.25
18-Aug-15,8/1/2015,42217,2096.9,366.25
19-Aug-15,8/1/2015,42217,2079.6,367.25
20-Aug-15,8/1/2015,42217,2035.7,371
21-Aug-15,8/1/2015,42217,1970.9,365.25
24-Aug-15,8/1/2015,42217,1893.2,368.75
25-Aug-15,8/1/2015,42217,1867.6,365.5
26-Aug-15,8/1/2015,42217,1940.5,361.75
27-Aug-15,8/1/2015,42217,1987.7,363.75
28-Aug-15,8/1/2015,42217,1988.9,363.25
31-Aug-15,8/1/2015,42217,1972.2,363.75
1-Sep-15,9/1/2015,42248,1913.9,356
2-Sep-15,9/1/2015,42248,1948.9,354
3-Sep-15,9/1/2015,42248,1951.1,347.75
4-Sep-15,9/1/2015,42248,1921.2,349.5
8-Sep-15,9/1/2015,42248,1969.4,355
9-Sep-15,9/1/2015,42248,1942,356.5
10-Sep-15,9/1/2015,42248,1952.3,361.75
11-Sep-15,9/1/2015,42248,1961.1,374.5
14-Sep-15,9/1/2015,42248,1953,379
15-Sep-15,9/1/2015,42248,1978.1,390.5
16-Sep-15,9/1/2015,42248,1995.3,386
17-Sep-15,9/1/2015,42248,1990.2,379.75
18-Sep-15,9/1/2015,42248,1958,377.25
21-Sep-15,9/1/2015,42248,1967,384.5
22-Sep-15,9/1/2015,42248,1942.7,380.5
23-Sep-15,9/1/2015,42248,1938.8,383.25
24-Sep-15,9/1/2015,42248,1932.2,381.5
25-Sep-15,9/1/2015,42248,1931.3,389
28-Sep-15,9/1/2015,42248,1881.8,386.75
29-Sep-15,9/1/2015,42248,1884.1,389
30-Sep-15,9/1/2015,42248,1920,387.75
1-Oct-15,10/1/2015,42278,1923.8,388.75
2-Oct-15,10/1/2015,42278,1951.4,389.25
5-Oct-15,10/1/2015,42278,1987.1,393.5
6-Oct-15,10/1/2015,42278,1979.9,398.25
7-Oct-15,10/1/2015,42278,1995.8,395.75
