"","date","series_id","value","realtime_start","realtime_end"
"1",2000-01-01,"CPIAUCSL",169.3,2025-02-05,2025-02-05
"2",2000-02-01,"CPIAUCSL",170,2025-02-05,2025-02-05
"3",2000-03-01,"CPIAUCSL",171,2025-02-05,2025-02-05
"4",2000-04-01,"CPIAUCSL",170.9,2025-02-05,2025-02-05
"5",2000-05-01,"CPIAUCSL",171.2,2025-02-05,2025-02-05
"6",2000-06-01,"CPIAUCSL",172.2,2025-02-05,2025-02-05
"7",2000-07-01,"CPIAUCSL",172.7,2025-02-05,2025-02-05
"8",2000-08-01,"CPIAUCSL",172.7,2025-02-05,2025-02-05
"9",2000-09-01,"CPIAUCSL",173.6,2025-02-05,2025-02-05
"10",2000-10-01,"CPIAUCSL",173.9,2025-02-05,2025-02-05
"11",2000-11-01,"CPIAUCSL",174.2,2025-02-05,2025-02-05
"12",2000-12-01,"CPIAUCSL",174.6,2025-02-05,2025-02-05
"13",2001-01-01,"CPIAUCSL",175.6,2025-02-05,2025-02-05
"14",2001-02-01,"CPIAUCSL",176,2025-02-05,2025-02-05
"15",2001-03-01,"CPIAUCSL",176.1,2025-02-05,2025-02-05
"16",2001-04-01,"CPIAUCSL",176.4,2025-02-05,2025-02-05
"17",2001-05-01,"CPIAUCSL",177.3,2025-02-05,2025-02-05
"18",2001-06-01,"CPIAUCSL",177.7,2025-02-05,2025-02-05
"19",2001-07-01,"CPIAUCSL",177.4,2025-02-05,2025-02-05
"20",2001-08-01,"CPIAUCSL",177.4,2025-02-05,2025-02-05
"21",2001-09-01,"CPIAUCSL",178.1,2025-02-05,2025-02-05
"22",2001-10-01,"CPIAUCSL",177.6,2025-02-05,2025-02-05
"23",2001-11-01,"CPIAUCSL",177.5,2025-02-05,2025-02-05
"24",2001-12-01,"CPIAUCSL",177.4,2025-02-05,2025-02-05
"25",2002-01-01,"CPIAUCSL",177.7,2025-02-05,2025-02-05
"26",2002-02-01,"CPIAUCSL",178,2025-02-05,2025-02-05
"27",2002-03-01,"CPIAUCSL",178.5,2025-02-05,2025-02-05
"28",2002-04-01,"CPIAUCSL",179.3,2025-02-05,2025-02-05
"29",2002-05-01,"CPIAUCSL",179.5,2025-02-05,2025-02-05
"30",2002-06-01,"CPIAUCSL",179.6,2025-02-05,2025-02-05
"31",2002-07-01,"CPIAUCSL",180,2025-02-05,2025-02-05
"32",2002-08-01,"CPIAUCSL",180.5,2025-02-05,2025-02-05
"33",2002-09-01,"CPIAUCSL",180.8,2025-02-05,2025-02-05
"34",2002-10-01,"CPIAUCSL",181.2,2025-02-05,2025-02-05
"35",2002-11-01,"CPIAUCSL",181.5,2025-02-05,2025-02-05
"36",2002-12-01,"CPIAUCSL",181.8,2025-02-05,2025-02-05
"37",2003-01-01,"CPIAUCSL",182.6,2025-02-05,2025-02-05
"38",2003-02-01,"CPIAUCSL",183.6,2025-02-05,2025-02-05
"39",2003-03-01,"CPIAUCSL",183.9,2025-02-05,2025-02-05
"40",2003-04-01,"CPIAUCSL",183.2,2025-02-05,2025-02-05
"41",2003-05-01,"CPIAUCSL",182.9,2025-02-05,2025-02-05
"42",2003-06-01,"CPIAUCSL",183.1,2025-02-05,2025-02-05
"43",2003-07-01,"CPIAUCSL",183.7,2025-02-05,2025-02-05
"44",2003-08-01,"CPIAUCSL",184.5,2025-02-05,2025-02-05
"45",2003-09-01,"CPIAUCSL",185.1,2025-02-05,2025-02-05
"46",2003-10-01,"CPIAUCSL",184.9,2025-02-05,2025-02-05
"47",2003-11-01,"CPIAUCSL",185,2025-02-05,2025-02-05
"48",2003-12-01,"CPIAUCSL",185.5,2025-02-05,2025-02-05
"49",2004-01-01,"CPIAUCSL",186.3,2025-02-05,2025-02-05
