Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,Open Int,EXCAUS
ZSH15,1/1/2015,1021.5,1062,955,961,-62.5,-6.11%,178497,644314,1.2122
ZSH15,2/1/2015,961,1038,956.5,1031.75,70.75,7.36%,256175,698668,1.2499
ZSK15,3/1/2015,1030,1039,951.25,973.25,-58.5,-5.67%,182310,708195,1.2618
ZSK15,4/1/2015,973.25,995,944.5,976,2.75,0.28%,239508,746322,1.2337
ZSN15,5/1/2015,978,990.5,920.5,934,-42,-4.30%,171117,698150,1.2176
ZSN15,6/1/2015,931,1038,895.75,1037.25,103.25,11.05%,285643,722471,1.2365
ZSX15,7/1/2015,1034.75,1045,931.75,940.25,-97,-9.35%,201158,663539,1.2863
ZSX15,8/1/2015,938.25,996.5,855,887.5,-52.75,-5.61%,202692,653707,1.3147
ZSX15,9/1/2015,885,902.25,853.25,892,4.5,0.51%,175857,675762,1.3266
ZSX15,10/1/2015,891.5,919.75,868.25,885.75,-6.25,-0.70%,284163,701418,1.3072
ZSF16,11/1/2015,887.5,891,844.25,881,-4.75,-0.54%,165721,673124,1.3279
ZSF16,12/1/2015,881,909.75,854.25,864.25,-16.75,-1.90%,225790,681902,1.3713
ZSH16,1/1/2016,863,888,852,882.25,18,2.08%,201904,674295,1.4208
ZSH16,2/1/2016,883,890,859.5,861,-21.25,-2.41%,260188,721971,1.3797
ZSK16,3/1/2016,861,917,856,910.75,49.75,5.78%,202507,723368,1.3226
ZSK16,4/1/2016,909.25,1046.25,901,1029.75,119,13.07%,399045,824648,1.2818
ZSN16,5/1/2016,1029.75,1098,1008.5,1078.5,48.75,4.73%,295796,840893,1.2945
ZSN16,6/1/2016,1078.75,1186.25,1068,1153.25,74.75,6.93%,324316,859582,1.2894
ZSX16,7/1/2016,1153,1157.5,963,1003,-150.25,-13.03%,238983,747308,1.3052
ZSX16,8/1/2016,992.75,1020,938,943,-60,-5.98%,149226,668100,1.2998
ZSX16,9/1/2016,942.25,994,934,954,11,1.17%,160613,636957,1.3108
ZSX16,10/1/2016,952.5,1031,937.25,1011.75,57.75,6.05%,282701,657062,1.3251
ZSF17,11/1/2016,1011.5,1065,975.25,1032.25,20.5,2.03%,194498,642825,1.3434
ZSF17,12/1/2016,1033.5,1061.75,997,1004,-28.25,-2.74%,232933,709586,1.3339
ZSH17,1/1/2017,1004,1080,992.75,1024.5,20.5,2.04%,188005,681160,1.3183
ZSH17,2/1/2017,1024.5,1073.25,1017,1035.75,11.25,1.10%,273532,736941,1.3109
ZSK17,3/1/2017,1036.25,1052.25,944.25,946,-89.75,-8.67%,166816,691919,1.3387
ZSK17,4/1/2017,946.25,972.5,929.75,956.25,10.25,1.08%,242763,729828,1.3437
ZSN17,5/1/2017,959.75,989,909.5,916,-40.25,-4.21%,171860,654508,1.3606
